playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWZQaaqNMbbXa,Dance Pop Hits,150,spotify,Spotify,330298
37i9dQZF1DWWOGXILUAh53,Fresh Dance Pop,75,spotify,Spotify,97360
69N5GrdsCrd9l7iqpcoLc7,Workout 2022 🔥 Exercise Music 🔥 Best Dance Music 🔥 Best Dance Pop 🔥 High Energy 🔥 Cardio 🔥,173,kpmvso2hddt008tdym03gycwi,Hit Music Group,73283
4SdfG4cPG3skmTiQLozZGh,Dance Pop Tunes ,100,sonymusicnl,Filtr Nederland,62723
37i9dQZF1DXahYFr91pFvG,Dance Pop: Japan,80,spotify,Spotify,57693
37i9dQZF1DX6pH08wMhkaI,Dance Pop Hits,100,spotify,Spotify,52586
4BGTclV7r6WKWE6g5cOfXg,Dance Pop Viral,25,3176nyhr2bvtjozlzvt5ishyfc7a,Music Hits Italy,28297
4mWwkoQrNdpxcQwjUQOf25,Dance Pop & Chill EDM 2020,249,ud7rjbzht60ftfz1kw796poev,Afterpeak,16279
6ZuVKbVrhpjDX0rcaVunAN,Dance Pop Selection,30,31tksvi5kmcyy77g5pskk7kdyeii,Chart Selection,15415
0dDgGk8Gwq5YnQMvaKJvrd,Dance Pop Hits. Party Vibes,35,edmembassy,Embassy Music,10173
2bl6rVKYoC4igzpzUKIuYo,Dance Pop Hits 2022 🔥,61,1nv6u01jz04gdpyeu05zf5uyd,Oxyd Music,6271
7rSSO6wDhzIZtJzCihk7Ij,"Dance Pop Hits, Dance Remixes, Dance Covers",80,thecheese462,Gin and Sonic,5321
0tIYVWntYRLj32jP1SjssE,Pop Hits 2022 | Dance Pop Hits | Viral,55,gfd4hg2888o4z62lu4v6inpwz,play2feel,4706
35325tPYWHYxR6Sy8nB3aT,Dance Pop 2022,66,raison_music,Guesstimate,4640
7xVe2rQRFZtwqrYFKB1RLe,"Dance Pop, Only Hits",35,dowy844nhjgbpj8sjbke9cyts,berthaana,944
3W2Vj0s1XLZHh5Cz1jDGTS,Dance Pop '90,39,21ccavqrh37bmu2mode4wyzdi,Timothy Walschaerts,902
44PolImasIMW3OOyLxcnle,Dance Pop & Happy Vibes :),59,4nh7nghhubxg081qmum0vmpie,Happy Hippo,866
5v689Vdwv92REJKH2M5hPe,Dance Pop '80,35,21ccavqrh37bmu2mode4wyzdi,Timothy Walschaerts,815
3a6JgfapcbxXOh0DPLfsiJ,Dance Pop 2022 - Break My Soul - Beyoncé | About Damn Time - Lizzo   ,133,8ztkipeycixxg8b9yf1v73pm9,Top Music,813
3jtiMnQbEtI36muhCWV5Op,Dance Pop Revival 2020 to 2022,316,evansleekx,reginogeorge,689
0JHfwlp01CjZaDBlB2vNx6,Dance Pop Hits,19,31p7a2nyydxc3ow6whoncbx3d73e,Fenomenale,451
7JhVlYXwk1rs46Rmha8Pzm,Dance Pop,69,31pwkxw63p7lwvvrnpokc2sgxaxu,ALI,407
3dhFyFz7MASFLcbT6e9M6e,Dance pop,62,314vfy4qcrdj7yen7au7s3bx52gq,King Casper,397
6sOydLioecsVp22NYCYew2,Day 2 - AM - #WhereYouAtDalawangMilyon | Dance Pop,80,wyanolak4oyrf5ma3e9irenqn,A'TIN Streaming Team,270
5Wrvpi5x2INYBKWykBkdKw,Dance Pop 2022,115,komodoyago,Komodo,204
5dT1edmQXE8i1VElae5YjT,"Dance Pop - New & Trending with Deep Down, Ferrari, Hold Me Closer, Afraid To Feel, Words",200,edmcharts.net,EDM Charts,201
5kx9gB59keuoRVRXoEAqrH,Dance Pop Hits,19,31rgnyempu6pvjbu24peegyu4lwu,Nicky!,192
5B3yHgvHrnwSit19JeezPv,DANCE POP HIT 2022 🌴 ⚡Electrónica | Beat House | Fiesta Dance🍍 😎,100,22wehhn2rnhvvtqv7evgkjy5q,Roney Conde (Rodneysson),154
4QJ8yV7UeRWbYQ3Jd87To1,Dance pop jazz,107,ifsi7281oj7b68e7gwmhfqahl,Lorianahidalgotencio,149
0AeBJtNxxdS4fquR7Q7Egv,dance pop workout,21,selfmagazine,SELFMagazine,94
3pucGR1qdYiz7AQNj3fzSR,Opm dance pop,50,itssmiles96,onlywitsmile,51
4Q9nRuaghLXo9Ixwmdts5T,Dance Pop Pool Party,94,316zhauomsjke3kykdhp3w2yj2iq,Frank Mamaril,5
37i9dQZF1EIdt7tQbR8QDN,Dance Pop Mix,50,spotify,Spotify,0
37i9dQZF1EIgiybBTM5LX0,Dance Pop Electronic Mix,50,spotify,Spotify,0
37i9dQZF1EIdy5SWz7dyYc,Dance Pop Upbeat Mix,50,spotify,Spotify,0
37i9dQZF1EIemYTdBNp5GQ,Kids Dance Pop Mix,50,spotify,Spotify,0
37i9dQZF1EIhenqQvE0wJC,Dance Pop R&B Mix,50,spotify,Spotify,0
