track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
5CM4UuQ9Gnd6K2YyKGPMoK,Bad Habit,92,232114,57vWImR43h4CaDao012Ofp,Steve Lacy,1,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
5rFtI5SpdK3VT7vmd0GAhs,Home Maker (Edit),46,232967,2MPHBxznH1fj59jbOWY38u,Sudan Archives,1,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
2iqA5Na5vlo0bnZUf8KT1N,new body rhumba (from the film White Noise),0,443853,066X20Nz7iquqkkCW6Jxy6,LCD Soundsystem,1,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
1gH1h30wkQdd9zhY3j7a8T,THE SHADE,87,181506,7pbDxGE6nQSZVfiFdq9lOL,Rex Orange County,1,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
4JvFNFTjEtZyEzh8w0YzHF,Tonight (feat. Ezra Koenig),65,246706,"['1xU878Z1QtBldR7ru9owdU', '2nkAu4P6EVeQpXxiEhPTH6']","['Phoenix', 'Ezra Koenig']",2,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
22MPIMPsoi0vd46wsbpzfE,Jesus Freak Lighter,64,152380,6LEeAFiJF8OuPx747e1wxR,Blood Orange,1,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
64dLd6rVqDLtkXFYrEUHIU,New Gold (feat. Tame Impala and Bootie Brown),83,215149,"['3AA28KZvwAUcZuOKwyblJQ', '5INjqkS1o8h1imAzPqGZBb', '6GI3CJjT2bOnMfprCpjT1d']","['Gorillaz', 'Tame Impala', 'Bootie Brown']",3,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
0JzG1wJuB4v9UPkSE7LMXi,Hotel,82,197333,5nvWOyAkfNgVLKESq4fOj2,Montell Fish,1,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
1EQFnxBTDsUJhnFzEYOuLc,Immunity,56,230464,6lcwlkAjBPSKnFBZjjZFJs,Alex G,1,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
2TktkzfozZifbQhXjT6I33,Evergreen (You Didn’t Deserve Me At All),83,216680,5FxD8fkQZ6KcsSYupDVoSO,Omar Apollo,1,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
3DpvrjdkaRAinFhNLoJuKa,When You Know You Know,48,248666,7DjwIxbe8kpw4pqnzAMoin,The Beths,1,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
6ZWIIawlXC4O3z9yEuJvDo,End of Beginning,65,159245,5p9HO3XC5P3BLxJs5Mtrhm,Djo,1,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
4OmfWzukSVD140NiAIEjem,Static,86,156506,57vWImR43h4CaDao012Ofp,Steve Lacy,1,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
0yowbJnnbTLpr99f9l1uba,There’d Better Be A Mirrorball,79,265798,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,1,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
42Q00bTTgyQhPE2FVWaoJE,All I Need To Hear,72,210447,3mIj9lX2MWuHmhNCA7LSCW,The 1975,1,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
6c1yUgFlhUHLAM9hSDkVBq,YUKON (INTERLUDE),78,141093,3MZsBdqDrRTJihTHQrO6Dq,Joji,1,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
30erf27MriGIsvb4rzria6,Gary Ashby,51,130479,7DlD7rLG9MKuvXtTeACzkO,Dry Cleaning,1,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
41P6Tnd8KIHqON0QIydx6a,the perfect pair,77,177533,35l9BRT7MXmM8bv2WDQiyB,beabadoobee,1,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
2W3ZpQg9i6lE6kmHbcdu9N,Cracker Island (feat. Thundercat),77,213750,"['3AA28KZvwAUcZuOKwyblJQ', '4frXpPxQQZwbCu3eTGnZEw']","['Gorillaz', 'Thundercat']",2,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
4UGvqm3e7UElrrriPtnhwz,Habits,74,136733,2uaMjmR0IE0K3oKTQrNZVQ,Genevieve Stokes,1,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
5fXWYr3Cz4DqEz5mzHccKF,Flight Risk,74,59026,3vldh5Ceynytj6Iglw4haP,Tommy Lefroy,1,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
7Ep8BuyZZGrbDP3alg2jPX,Unfold,55,90127,1S0vL284jxZYKtZQ2jsQ2X,Melody's Echo Chamber,1,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
0uBdQzKghx88d2Lp8SLFKJ,I'm In Love With You,79,262623,3mIj9lX2MWuHmhNCA7LSCW,The 1975,1,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
