track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
5CM4UuQ9Gnd6K2YyKGPMoK,Bad Habit,57vWImR43h4CaDao012Ofp,Steve Lacy,69JpAhN3XgLkOsJ7MCtW4V,232114,2022-06-29,92,0.686,0.507,1,-7.097,1,0.0357,0.626,7.51e-05,0.383,0.69,168.955,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
5rFtI5SpdK3VT7vmd0GAhs,Home Maker (Edit),2MPHBxznH1fj59jbOWY38u,Sudan Archives,65DXmlrnWyJwqelAyE4JrU,232967,2022-03-16,46,0.827,0.633,1,-6.483,1,0.0466,0.00308,0.00803,0.0749,0.794,106.991,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
2iqA5Na5vlo0bnZUf8KT1N,new body rhumba (from the film White Noise),066X20Nz7iquqkkCW6Jxy6,LCD Soundsystem,0NIz7gtDhMS3pqFnCgcZCy,443853,2022-09-30,0,0.707,0.931,2,-5.463,1,0.0545,0.0933,0.00267,0.153,0.702,136.822,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
1gH1h30wkQdd9zhY3j7a8T,THE SHADE,7pbDxGE6nQSZVfiFdq9lOL,Rex Orange County,2yI4m5Yu2tl8v0It5P9WVz,181506,2022-03-11,87,0.898,0.509,5,-7.973,1,0.062,0.391,0.0,0.0876,0.727,119.869,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
4JvFNFTjEtZyEzh8w0YzHF,Tonight (feat. Ezra Koenig),1xU878Z1QtBldR7ru9owdU,Phoenix,3FkF6yz6p8iM2TR18ODmtV,246706,2022-09-07,65,0.671,0.736,8,-6.705,1,0.0344,0.0547,0.00381,0.111,0.89,141.967,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
22MPIMPsoi0vd46wsbpzfE,Jesus Freak Lighter,6LEeAFiJF8OuPx747e1wxR,Blood Orange,4UXPiUnb4mAFgsvaq7B6SP,152380,2022-09-08,64,0.641,0.917,1,-9.749,1,0.0347,0.202,0.84,0.17,0.14,113.401,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
64dLd6rVqDLtkXFYrEUHIU,New Gold (feat. Tame Impala and Bootie Brown),3AA28KZvwAUcZuOKwyblJQ,Gorillaz,4V9YFKLqZ5h8nQFTvDQscC,215149,2022-08-31,83,0.695,0.923,1,-3.93,0,0.0522,0.0425,0.0469,0.116,0.551,108.014,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
0JzG1wJuB4v9UPkSE7LMXi,Hotel,5nvWOyAkfNgVLKESq4fOj2,Montell Fish,0ykf7jcx3yY49RpkIO1byF,197333,2022-09-16,82,0.228,0.427,0,-8.739,0,0.0363,0.752,0.0167,0.592,0.192,180.345,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
1EQFnxBTDsUJhnFzEYOuLc,Immunity,6lcwlkAjBPSKnFBZjjZFJs,Alex G,6TzgWk5HZItbFmMT7hH4bU,230464,2022-09-23,56,0.646,0.801,0,-6.252,1,0.0276,0.187,0.511,0.122,0.196,126.016,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
2TktkzfozZifbQhXjT6I33,Evergreen (You Didn’t Deserve Me At All),5FxD8fkQZ6KcsSYupDVoSO,Omar Apollo,5z7TD11Qh81Gbf52hd5zAv,216680,2022-04-08,83,0.697,0.336,9,-10.395,1,0.0424,0.598,0.00528,0.107,0.31,82.029,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
3DpvrjdkaRAinFhNLoJuKa,When You Know You Know,7DjwIxbe8kpw4pqnzAMoin,The Beths,6RWLJx7kQLSnwwPyTqPj0U,248666,2022-09-16,48,0.514,0.633,9,-9.023,1,0.0294,0.00358,3.91e-05,0.31,0.458,93.927,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
6ZWIIawlXC4O3z9yEuJvDo,End of Beginning,5p9HO3XC5P3BLxJs5Mtrhm,Djo,5rJBH4rmxpqXaDf8E1Mgse,159245,2022-09-16,65,0.689,0.453,2,-7.64,1,0.0543,0.0313,0.00405,0.0698,0.915,159.987,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
4OmfWzukSVD140NiAIEjem,Static,57vWImR43h4CaDao012Ofp,Steve Lacy,3Ks0eeH0GWpY4AU20D5HPD,156506,2022-07-15,86,0.335,0.305,1,-12.661,1,0.0741,0.434,0.631,0.101,0.215,79.001,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
0yowbJnnbTLpr99f9l1uba,There’d Better Be A Mirrorball,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,0ZUmodAwUq8cQJFvyibKwT,265798,2022-08-30,79,0.513,0.369,3,-10.899,1,0.0307,0.634,0.0139,0.186,0.311,72.062,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
42Q00bTTgyQhPE2FVWaoJE,All I Need To Hear,3mIj9lX2MWuHmhNCA7LSCW,The 1975,13ztfgangyOF3Mxt5VbE1s,210447,2022-09-21,72,0.4,0.245,11,-10.227,1,0.0344,0.906,0.00131,0.119,0.21,136.553,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
6c1yUgFlhUHLAM9hSDkVBq,YUKON (INTERLUDE),3MZsBdqDrRTJihTHQrO6Dq,Joji,0GxWXE6ltKk4Gx3WyWLLrW,141093,2022-08-26,78,0.736,0.71,6,-8.497,0,0.091,0.383,0.0351,0.395,0.0728,82.482,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
30erf27MriGIsvb4rzria6,Gary Ashby,7DlD7rLG9MKuvXtTeACzkO,Dry Cleaning,5dxQzy2zP6VnJ8jTKYufRZ,130479,2022-09-07,51,0.455,0.861,11,-5.183,0,0.0509,0.000175,0.763,0.111,0.396,159.407,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
41P6Tnd8KIHqON0QIydx6a,the perfect pair,35l9BRT7MXmM8bv2WDQiyB,beabadoobee,2rhNQbqRNxiNQkDXTffe1V,177533,2022-07-15,77,0.634,0.663,11,-6.818,1,0.0331,0.433,0.124,0.102,0.6,146.053,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
