playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DXbITWG1ZJKYt,Jazz Classics,250,spotify,Spotify,2691025
37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz,142,spotify,Spotify,2400136
37i9dQZF1DX0SM0LYsmbMT,Jazz Vibes,300,spotify,Spotify,2083158
37i9dQZF1DX4wta20PHgwo,Late Night Jazz,150,spotify,Spotify,1972551
37i9dQZF1DWTbzY5gOVvKd,Jazzy Romance,120,spotify,Spotify,1131534
37i9dQZF1DX8Kgdykz6OKj,Jazz Rap,100,spotify,Spotify,1012237
37i9dQZF1DXa1rZf8gLhyz,Jazz for Sleep,159,spotify,Spotify,969295
37i9dQZF1DWV7EzJMK2FUI,Jazz in the Background,370,spotify,Spotify,829954
37i9dQZF1DXbOVU4mpMJjh,Jazz Relax,200,spotify,Spotify,747996
37i9dQZF1DX2vYju3i0lNX,Chilled Jazz,247,spotify,Spotify,720523
37i9dQZF1DX5D4gDh3HAsM,Christmas Jazz,50,spotify,Spotify,452406
4vCAD6vcB6mSElLM1Whb4r,Chill Jazz Vibes 🎷 mellow jazz beats & jazzhop,90,vcdikomxn7xuhp0ci0pn31pn9,Chill Beats Music,448550
37i9dQZF1DWTALrdBtcXjw,Jazzy Dinner,125,spotify,Spotify,389077
37i9dQZF1DXdwTUxmGKrdN,Smooth Jazz,75,spotify,Spotify,361818
37i9dQZF1DX3SiCzCxMDOH,Jazz for Study,123,spotify,Spotify,353473
37i9dQZF1DX71VcjjnyaBQ,Good Morning Jazz,100,spotify,Spotify,331186
37i9dQZF1DWZv6UE8BMPO0,Christmas Cocktail Jazz,67,spotify,Spotify,277095
37i9dQZF1DWY3X53lmPYk9,Peaceful Jazz Piano,140,spotify,Spotify,245782
37i9dQZF1DWT4nLmUaFDGb,Easy Jazz,150,spotify,Spotify,230619
37i9dQZF1DWYxwmBaMqxsl,Rainy Day Jazz,168,spotify,Spotify,224720
37i9dQZF1DWTcEjayzrZ4x,Lazy Jazz Cat,128,spotify,Spotify,212590
37i9dQZF1DWUb0uBnlJuTi,Jazz-Funk,80,spotify,Spotify,212138
37i9dQZF1DWU0r6G8OGirN,Cozy Christmas Jazz,53,spotify,Spotify,205812
37i9dQZF1DXdziGPHNE40t,Jazzy Morning,79,spotify,Spotify,200981
37i9dQZF1DX8wWHvPMMfNA,Focus Jazz,100,spotify,Spotify,195710
37i9dQZF1DWU6MDxlH7Sr1,Cocktail Jazz,114,spotify,Spotify,184606
37i9dQZF1DXbehaqJzJXqw,French Jazz Café,120,spotify,Spotify,172417
