track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
29U7stRjqHU6rMiS8BfaI9,What A Wonderful World,69,139226,19eLuQmk9aCobbVDHc6eek,Louis Armstrong,1,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
3898C4AbdbptwYet6547e5,The Girl From Ipanema,68,321826,"['0FMucZsEnCxs5pqBjHjIc8', '77ZUbcdoU5KCPHNUl8bgQy', '5rX2c1zow6hCph8PnnU3kF']","['Stan Getz', 'João Gilberto', 'Astrud Gilberto']",3,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
3zIuHdD8dkh1vPxQu334T7,Blue Train,55,643127,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,1,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
6VTbbVjKOC2qWagIDbkJrC,My Baby Just Cares for Me - 2013 Remastered Version,68,215746,7G1GBhoKtEPnP86X2PvEYO,Nina Simone,1,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
33jt3kYWjQzqn3xyYQ5ZEh,Cheek To Cheek,67,354533,"['5V0MlUE1Bft0mbLlND7FJz', '19eLuQmk9aCobbVDHc6eek']","['Ella Fitzgerald', 'Louis Armstrong']",2,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
1YQWosTIljIvxAgHWTp7KP,Take Five,66,324133,4iRZAbYvBqnxrbs6K25aJ7,The Dave Brubeck Quartet,1,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
30QD4VRP9yEneOh0eGTrtJ,Solitude,66,207600,1YzCsTRb22dQkh9lghPIrp,Billie Holiday,1,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
648TTtYB0bH0P8Hfy0FmkL,Unforgettable,66,191973,7v4imS0moSyGdXyLgVTIV7,Nat King Cole,1,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
0F845nujLVqCb0XMZCh5Pc,I Fall In Love Too Easily,65,201440,3rxeQlsv0Sc2nyYaZ5W71T,Chet Baker,1,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
0E8q2Fx2XuzXCO2NSAppkR,In A Sentimental Mood,65,255226,"['4F7Q5NV6h5TSwCainz8S5A', '2hGh5VOeeqimQFxqXvfCUf']","['Duke Ellington', 'John Coltrane']",2,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
2gNjmvuQiEd2z9SqyYi8HH,Summertime,64,298133,"['19eLuQmk9aCobbVDHc6eek', '5V0MlUE1Bft0mbLlND7FJz']","['Louis Armstrong', 'Ella Fitzgerald']",2,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
4smkJW6uzoHxGReZqqwHS5,I'll Be Seeing You,64,211533,1YzCsTRb22dQkh9lghPIrp,Billie Holiday,1,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
2IdwQxhJn9ZE4zIotcCefR,Stormy Weather,64,187666,0iOVhN3tnSvgDbcg25JoJb,Etta James,1,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
0aWMVrwxPNYkKmFthzmpRi,Blue in Green (feat. John Coltrane & Bill Evans),63,337733,"['0kbYTNQb4Pb1rPbbaF0pT4', '2hGh5VOeeqimQFxqXvfCUf', '4jXfFzeP66Zy67HM2mvIIF']","['Miles Davis', 'John Coltrane', 'Bill Evans']",3,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
78MI7mu1LV1k4IA2HzKmHe,Dream A Little Dream Of Me - Single Version,66,185160,"['5V0MlUE1Bft0mbLlND7FJz', '19eLuQmk9aCobbVDHc6eek']","['Ella Fitzgerald', 'Louis Armstrong']",2,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
4l9hml2UCnxoNI3yCdL1BW,My Funny Valentine,63,141133,3rxeQlsv0Sc2nyYaZ5W71T,Chet Baker,1,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
66iKqUazBbTlAEjcZrpDkD,What A Diff'rence A Day Made,63,151866,32LHRiof0sa4taYew9i3Fa,Dinah Washington,1,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
0uPkCpuoERqrkBL06Art50,My One And Only Love,62,295240,"['2hGh5VOeeqimQFxqXvfCUf', '7qVvIFc9DktkAc0HKzRhNo']","['John Coltrane', 'Johnny Hartman']",2,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
