track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
29U7stRjqHU6rMiS8BfaI9,What A Wonderful World,19eLuQmk9aCobbVDHc6eek,Louis Armstrong,6mmv0gwumlFGWDGJXF4yEv,139226,1968-01-01,69,0.271,0.165,5,-20.652,1,0.0351,0.729,1.6e-06,0.118,0.203,77.082,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
3898C4AbdbptwYet6547e5,The Girl From Ipanema,0FMucZsEnCxs5pqBjHjIc8,Stan Getz,4I26wT2bckDbv8Xl5iVInQ,321826,1989-01-01,68,0.664,0.194,5,-15.487,0,0.0357,0.909,3.85e-05,0.0829,0.443,129.863,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
3zIuHdD8dkh1vPxQu334T7,Blue Train,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,2Z11cXWEa2qqYQBGkJrCga,643127,1958-01-01,55,0.503,0.286,8,-15.425,1,0.045,0.643,0.00112,0.156,0.569,136.098,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
6VTbbVjKOC2qWagIDbkJrC,My Baby Just Cares for Me - 2013 Remastered Version,7G1GBhoKtEPnP86X2PvEYO,Nina Simone,58gOQaPc4RCw8eWdTDRes7,215746,1958-06-24,68,0.746,0.243,4,-15.134,0,0.123,0.829,1.02e-06,0.0905,0.425,118.578,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
33jt3kYWjQzqn3xyYQ5ZEh,Cheek To Cheek,5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald,2uqlkJu6vckJahCsp6Hfcn,354533,1997-05-20,67,0.663,0.264,0,-14.571,1,0.0914,0.706,0.0,0.1,0.657,122.482,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
1YQWosTIljIvxAgHWTp7KP,Take Five,4iRZAbYvBqnxrbs6K25aJ7,The Dave Brubeck Quartet,0nTTEAhCZsbbeplyDMIFuA,324133,1959-12-14,66,0.454,0.26,8,-13.193,0,0.0401,0.539,0.00078,0.0675,0.598,174.322,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
30QD4VRP9yEneOh0eGTrtJ,Solitude,1YzCsTRb22dQkh9lghPIrp,Billie Holiday,4izD3SCRElbkO06i8yf4Zp,207600,1956-01-01,66,0.462,0.15,8,-13.531,1,0.0522,0.984,0.000902,0.105,0.19,98.66,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
648TTtYB0bH0P8Hfy0FmkL,Unforgettable,7v4imS0moSyGdXyLgVTIV7,Nat King Cole,7GBvXtxnvBluo2f4xBVNkm,191973,1954-01-01,66,0.349,0.182,5,-13.507,1,0.031,0.92,0.0152,0.143,0.178,136.094,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
0F845nujLVqCb0XMZCh5Pc,I Fall In Love Too Easily,3rxeQlsv0Sc2nyYaZ5W71T,Chet Baker,5JJ779nrbHx0KB2lBrMMa4,201440,1956,65,0.532,0.0657,0,-19.136,0,0.0406,0.94,0.00488,0.0946,0.292,128.607,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
0E8q2Fx2XuzXCO2NSAppkR,In A Sentimental Mood,4F7Q5NV6h5TSwCainz8S5A,Duke Ellington,1OvmilWKtrabJGEpPRlgK5,255226,1963-02,65,0.464,0.305,3,-12.435,0,0.0316,0.936,0.0846,0.208,0.282,108.229,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
2gNjmvuQiEd2z9SqyYi8HH,Summertime,19eLuQmk9aCobbVDHc6eek,Louis Armstrong,1vvnTmmNWnGmqvVFjVIINf,298133,1958-01-01,64,0.172,0.0696,11,-21.295,0,0.0339,0.916,0.00199,0.137,0.103,167.974,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
4smkJW6uzoHxGReZqqwHS5,I'll Be Seeing You,1YzCsTRb22dQkh9lghPIrp,Billie Holiday,4MkdTflpaaGGcXb5vtOYRs,211533,1957-01-01,64,0.355,0.0304,1,-20.479,1,0.0361,0.989,0.0555,0.116,0.188,90.495,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
2IdwQxhJn9ZE4zIotcCefR,Stormy Weather,0iOVhN3tnSvgDbcg25JoJb,Etta James,7rd4PorIOPjPTy7qdUeeCt,187666,1960,64,0.262,0.356,0,-8.031,0,0.0303,0.613,0.0,0.175,0.426,174.176,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
0aWMVrwxPNYkKmFthzmpRi,Blue in Green (feat. John Coltrane & Bill Evans),0kbYTNQb4Pb1rPbbaF0pT4,Miles Davis,4sb0eMpDn3upAFfyi4q2rw,337733,1959-08-17,63,0.421,0.0162,2,-25.358,0,0.0388,0.808,0.0024,0.0978,0.154,110.479,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
78MI7mu1LV1k4IA2HzKmHe,Dream A Little Dream Of Me - Single Version,5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald,1y5KGkUKO0NG32MhIIagCA,185160,2007-05-03,66,0.443,0.104,0,-17.042,1,0.101,0.913,0.0,0.191,0.394,76.497,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
4l9hml2UCnxoNI3yCdL1BW,My Funny Valentine,3rxeQlsv0Sc2nyYaZ5W71T,Chet Baker,5JJ779nrbHx0KB2lBrMMa4,141133,1956,63,0.438,0.00756,0,-26.44,0,0.0382,0.941,0.00643,0.109,0.277,133.32,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
66iKqUazBbTlAEjcZrpDkD,What A Diff'rence A Day Made,32LHRiof0sa4taYew9i3Fa,Dinah Washington,0w8YD8Wz1hEkwXdsAMzzFe,151866,1959-02-19,63,0.387,0.117,0,-17.803,1,0.0299,0.925,0.000171,0.109,0.166,93.575,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
0uPkCpuoERqrkBL06Art50,My One And Only Love,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,5e3mq4TT4RLn4VXfgKV6MU,295240,1963-01-01,62,0.474,0.0676,9,-16.101,0,0.0363,0.963,0.00291,0.14,0.248,115.713,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
7ilc2TB1RZXbQJyFs5qCiC,Fly Me To The Moon,5rX2c1zow6hCph8PnnU3kF,Astrud Gilberto,37xKx9ymHBSgYX02zZhwb9,142533,1965-05-22,61,0.595,0.306,7,-14.404,1,0.0345,0.883,0.000386,0.0733,0.464,133.63,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
1pZn8AX1WulW8IO338hE5D,Blue Moon,1YzCsTRb22dQkh9lghPIrp,Billie Holiday,4izD3SCRElbkO06i8yf4Zp,207826,1956-01-01,64,0.639,0.269,8,-11.435,1,0.0698,0.982,0.12,0.141,0.539,124.866,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
5y8zb3grlQonjdqd27K39T,A Kiss To Build A Dream On - Single Version,19eLuQmk9aCobbVDHc6eek,Louis Armstrong,17fcllu2aPjrx4ZCm05jMc,181493,2000-01-01,62,0.723,0.0811,0,-14.113,1,0.0631,0.779,0.0,0.509,0.36,88.044,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
4vLYewWIvqHfKtJDk8c8tq,"So What (feat. John Coltrane, Cannonball Adderley & Bill Evans)",0kbYTNQb4Pb1rPbbaF0pT4,Miles Davis,4sb0eMpDn3upAFfyi4q2rw,562640,1959-08-17,61,0.532,0.151,0,-17.266,1,0.0376,0.706,0.00136,0.116,0.211,136.759,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
4SrJyRdyHYxxkcVMQ3QkGE,Corcovado (Quiet Nights Of Quiet Stars),0FMucZsEnCxs5pqBjHjIc8,Stan Getz,4I26wT2bckDbv8Xl5iVInQ,254666,1989-01-01,61,0.572,0.152,9,-15.658,0,0.0408,0.961,0.000432,0.136,0.339,127.497,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
2dR5WkrpwylTuT3jRWNufa,Fly Me To The Moon,1Mxqyy3pSjf8kZZL4QVxS0,Frank Sinatra,7gmak9ZGm10y4PtZa9SBQn,147146,2015-04-21,61,0.67,0.365,0,-10.158,1,0.0564,0.525,0.0,0.0575,0.45,119.344,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
0sMR4StyIAXLE0WrfaZIDu,I'm Old Fashioned,2hGh5VOeeqimQFxqXvfCUf,John Coltrane,2Z11cXWEa2qqYQBGkJrCga,479023,1958-01-01,48,0.483,0.1,0,-17.533,0,0.0344,0.912,0.548,0.0757,0.374,78.703,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
0f2489MzoisF9pKduawvce,Autumn In New York,5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald,4zWqQOob980K9drUrUGM8M,356626,1957-02-25,60,0.425,0.0469,7,-18.612,0,0.0354,0.955,0.0,0.137,0.154,135.335,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
7gHFBNy0Qn86xGKJ9OdFTw,Misty,1bgyxtWjZwA5PQlDsvs9b8,Sarah Vaughan,6pZ5dSsfNRSuMV9RcMyfwU,179373,1958-07-07,60,0.224,0.214,2,-14.455,0,0.0348,0.976,0.00094,0.367,0.14,83.906,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
1LGqJ3nvxpVXDWpEzq4DJD,All of Me,1YzCsTRb22dQkh9lghPIrp,Billie Holiday,7pBwUBRsdgtIyX7tGOmaoy,181440,1933,61,0.504,0.0644,2,-14.754,0,0.0408,0.972,4.36e-06,0.174,0.403,106.994,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
3yYfoYGVpriV4fG9L1ogsD,La vie en rose - Single Version,19eLuQmk9aCobbVDHc6eek,Louis Armstrong,0OdoPgKwi6l3paYTSFAWkS,206333,1994-01-01,60,0.558,0.123,0,-10.396,1,0.0525,0.809,0.00121,0.0916,0.341,70.16,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
4m6OC8u2rC6LMFtFWsME7d,Time After Time - Vocal Version,3rxeQlsv0Sc2nyYaZ5W71T,Chet Baker,5JJ779nrbHx0KB2lBrMMa4,166760,1956,60,0.501,0.0454,0,-18.783,1,0.0388,0.938,3.76e-05,0.2,0.255,99.783,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
0sCeNwt8xRCMR4NhKpMyBe,Cantaloupe Island - Remastered,2ZvrvbQNrHKwjT7qfGFFUW,Herbie Hancock,5HCi1WVOT9SGks2deeceFu,333946,1964-06-17,60,0.515,0.583,0,-8.182,0,0.0284,0.749,0.000294,0.123,0.414,116.11,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
6yKkA8HzwWTZ5taIMaG4Nm,My Foolish Heart,3VEG6gxFIMfl4Cdog26avS,Bill Evans Trio,0MjlKhtsyax9HSWNkYaWM2,297320,1961,59,0.395,0.121,9,-23.427,1,0.0327,0.935,0.397,0.697,0.139,114.521,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
4rmCI9VWrwrJTJ8XQ80BMN,My Little Brown Book,4F7Q5NV6h5TSwCainz8S5A,Duke Ellington,1OvmilWKtrabJGEpPRlgK5,319733,1963-02,59,0.372,0.187,0,-13.497,0,0.0323,0.942,0.139,0.161,0.217,70.334,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
4ol2UyMTiklHVujAWg02nE,I Got It Bad And That Ain't Good,0ldU0QJm31y0d6f57R1G2A,Oscar Peterson Trio,3gPOWmWT0q7Ygp95Xiuw1v,306226,1963-01-01,59,0.488,0.0527,5,-27.331,1,0.0478,0.971,0.911,0.0882,0.193,49.689,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
