playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX0BZrbvIqxCd,Punk Rock Workout,100,spotify,Spotify,520987
3NnLKQOBbDjQJ492httrok,Punk Rock Classics,107,darianhair,darianhair,36190
33KdqiEKn6VBcKQbY7H4R0,pop punk/punk rock/alt rock & emo rap songs,173,f4kydv5sfw7uj18ts5mnb4aaz,solace,30242
76iQv4c5qSM4AgvXph4rJu,Early 2000s Punk Rock,120,idveyt7fy2xs4df9vw9ti1nrf,Spenny,15789
3VtaNCpyW5OHWzxEu8BTKY,All-time Favorites | Pop Punk Rock Alternative,131,chasquared,Cha Gomez,12504
3fjevsdfSvFVHHlZXiIjir,pop punk - punk rock - alt rock & emo rap songs,128,u7mglzi3hrl3amm0pc1fdm184,Internet Cult,11911
5Z6HJD7JSrSw4pGWsyxdqw,PUNK ROCK,1570,sebastien.gautier,sebastien.gautier,9730
1VJqjw5fqeNXzjpblw0X9Z,Middle School Punk Rock Boner Jams,142,1227560346,Michael Lu,8597
5cPI51KVU5UYaQxc2QqXPh,Acoustic Punk Rock Pop ☺♥🎵,134,mazigenogaling,zee,5681
3bPfNXljz21tSEgyQIFJsb,Punk Rock Español,538,keynome,Antonio Fco Quintana,3137
5D0J98fCC4bqcnKzecrx3d,Hinos do Punk Rock Brasileiro,274,21yle9e3ghl9syme9d6wkphik,Punkzilla!,2662
4UXz77wKjttewSB5onmnp8,Halloween Punk Rock Playlist,78,21wasacg5je4qhe5v7nvmnv3q,Károly Pintér,2640
6icnDAQ82WZ0O1wnfzrQPT,The ULTIMATE Skate Punk and Punk Rock Playlist,1091,pizzawithska,Pizza with Film,2595
2BfIdY3aqDI6FGldCkADAr,Celtic Punk Rock,105,fl0rez,Álvaro Flórez,2360
19eZRM9Lc2DOw3cQbN7yqJ,Antifascist Punk Rock,76,antillectual,Antillectual,2142
7Ifvi4NjkXY4QAjsY5Zrmh,Punk Rock Deutsch,341,jonlang-12,Jonas Langohr,2132
2FAcuUngqVrW2CvWknsB6P,college punk rock,370,monicaofdoom,Timothy Pers,2084
31BFVl37cTmCNRl6FPA6J5,The Ultimate Heroes – Punk Rock Covers,90,225zvznwenbmaqqq3l23l3luq,Ginbert Rojo Magnaye,2017
2WUqmooCV6c143fioLkXmP,Punk Rock anos 90/2000,119,djandrefelipe,André Felipe Valinhos,1909
2hoFlNormUqXd4dk7VNSPL,Polish Punk Rock! Polski Punk Rock! Oi! Oi! Best of mix,328,jar3k,jar3k,1877
1ljcKT8zpIiPMOfMcd6Vh6,00' Punk Rock Essentials,73,12139979418,Emilio Verduga,1748
0gjEOArqNm83IBuaMtrkzG,Punk Rock Polska,71,młodybb,młodybb,1697
5gs1uwdQFtfpG4LE74JZEg,old school punk rock,48,1156365487,1156365487,1516
4RBkfxtA9AwFkla9QANeYD,Polski Punk Rock,128,plmamber,Jakub Rejmak,1514
