track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
7j31rVgGX9Q2blT92VBEA0,Teenagers,7FBcuc1gsnv6Y1nwFtNRCb,My Chemical Romance,0FZK97MXMm5mUQ8mtudjuK,161920,2006-10-23,81,0.463,0.857,4,-3.063,1,0.0632,0.0506,0.0,0.184,0.856,111.647,37i9dQZF1DX0BZrbvIqxCd,Punk Rock Workout
6L89mwZXSOwYl76YXfX13s,Basket Case,7oPftvlwr6VrsViSDV7fJY,Green Day,4uG8q3GPuWHQlRbswMIRS6,181533,1994-02-01,81,0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,37i9dQZF1DX0BZrbvIqxCd,Punk Rock Workout
6TfBA04WJ3X1d1wXhaCFVT,"You're Gonna Go Far, Kid",5LfGQac0EIXyAN8aUwmNAQ,The Offspring,67v63ubEsvDUQkYMzI7A9t,177826,2008-06-17,80,0.55,0.917,0,-3.159,1,0.0638,0.00428,0.0,0.197,0.601,126.115,37i9dQZF1DX0BZrbvIqxCd,Punk Rock Workout
6GG73Jik4jUlQCkKg9JuGO,The Middle,3Ayl7mCk0nScecqOzvNp6s,Jimmy Eat World,0UJhhj5bn5AGAjryFnhueP,165853,2001-07-17,80,0.643,0.849,2,-5.428,1,0.0526,0.0371,0.0,0.058,0.903,162.152,37i9dQZF1DX0BZrbvIqxCd,Punk Rock Workout
7kDUspsoYfLkWnZR7qwHZl,my ex's best friend (with blackbear),6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,57lgFncHBYu5E3igZnuCJK,139460,2020-09-25,79,0.731,0.675,5,-5.134,0,0.0434,0.00473,0.0,0.141,0.298,124.939,37i9dQZF1DX0BZrbvIqxCd,Punk Rock Workout
3Zwu2K0Qa5sT6teCCHPShP,Thnks fr th Mmrs,4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,0hHopYqXhuvYSHtVyrcb1g,203506,2007-01-01,79,0.459,0.891,10,-5.057,0,0.0623,0.00511,0.0,0.106,0.588,154.837,37i9dQZF1DX0BZrbvIqxCd,Punk Rock Workout
0JJP0IS4w0fJx01EcrfkDe,"Dear Maria, Count Me In",46gyXjRIvN1NL1eCB8GBxo,All Time Low,0H4ELcHequ3OligrjWfrZP,182826,2007-09-25,77,0.459,0.895,2,-3.126,1,0.0805,0.00725,0.0,0.206,0.572,181.04,37i9dQZF1DX0BZrbvIqxCd,Punk Rock Workout
7lRlq939cDG4SzWOF4VAnd,I'm Not Okay (I Promise),7FBcuc1gsnv6Y1nwFtNRCb,My Chemical Romance,3DuiGV3J09SUhvp8gqNx8h,186480,2004-06-08,76,0.21,0.94,9,-3.427,1,0.123,0.00602,0.0,0.269,0.255,179.722,37i9dQZF1DX0BZrbvIqxCd,Punk Rock Workout
0BRHnOFm6sjxN1i9LJrUDu,The Anthem,5aYyPjAsLj7UzANzdupwnS,Good Charlotte,5CTygC3aONv7l0klY4k3hc,175093,2002-10-04,74,0.494,0.939,1,-3.127,1,0.126,0.00666,0.0,0.139,0.893,177.751,37i9dQZF1DX0BZrbvIqxCd,Punk Rock Workout
4EchqUKQ3qAQuRNKmeIpnf,The Kids Aren't Alright,5LfGQac0EIXyAN8aUwmNAQ,The Offspring,2RNTBrSO8U8XjjEj9RVvZ5,180160,1998-11-16,80,0.523,0.943,1,-4.203,1,0.0337,0.00704,3.81e-05,0.0579,0.766,99.607,37i9dQZF1DX0BZrbvIqxCd,Punk Rock Workout
