artist,album,track_number,id,name,uri,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Angeline Quinto,@LoveAngelineQuinto,1,48pPpT5Xyli4tBCMiy4Zhs,"Para Bang, Para Lang",spotify:track:48pPpT5Xyli4tBCMiy4Zhs,248711,0.651,0.67,0.533,0.0,0.174,-5.851,0.0394,90.089,0.447,28
Angeline Quinto,@LoveAngelineQuinto,2,12fSfbtn43L2KO6kqqW0rj,'Di Na Tayo,spotify:track:12fSfbtn43L2KO6kqqW0rj,270132,0.292,0.71,0.657,1.48e-05,0.236,-5.509,0.047,139.965,0.425,28
Angeline Quinto,@LoveAngelineQuinto,3,6B2UndFWylp4Y93FwADGVb,At Ang Hirap,spotify:track:6B2UndFWylp4Y93FwADGVb,257567,0.843,0.434,0.357,1.69e-06,0.169,-8.532,0.0507,129.769,0.14,53
Angeline Quinto,@LoveAngelineQuinto,4,0Ba6MOshEq4QBV5qM4X0UZ,Parang Tayo Pero Hindi,spotify:track:0Ba6MOshEq4QBV5qM4X0UZ,226377,0.711,0.527,0.413,0.0,0.327,-7.574,0.032,127.282,0.236,19
Angeline Quinto,@LoveAngelineQuinto,5,3Lc6STDL8CQfAY4t8QVZjT,Awit Ng Pag-ibig,spotify:track:3Lc6STDL8CQfAY4t8QVZjT,249939,0.858,0.35,0.283,1.97e-06,0.0628,-8.12,0.0382,129.872,0.188,18
Angeline Quinto,@LoveAngelineQuinto,6,551gJb0O4V4IA8HtuLeXXD,Ang Pag-ibig Ko'y Ikaw,spotify:track:551gJb0O4V4IA8HtuLeXXD,273293,0.942,0.444,0.223,2.47e-05,0.123,-9.135,0.0341,76.461,0.255,18
Angeline Quinto,@LoveAngelineQuinto,7,3qXuyBLqetZRDInLJqpeL6,Paano Ba Ang Huwag Kang Mahalin,spotify:track:3qXuyBLqetZRDInLJqpeL6,229250,0.956,0.437,0.264,0.00229,0.0813,-9.822,0.04,126.997,0.322,18
Angeline Quinto,@LoveAngelineQuinto,8,3megxm4xWsConN0SIGHPqg,Nanghihinayang,spotify:track:3megxm4xWsConN0SIGHPqg,285596,0.741,0.593,0.234,3.37e-06,0.094,-8.807,0.0367,121.885,0.426,40
Angeline Quinto,@LoveAngelineQuinto,9,4VNXZHKy6HBKGosrWUnMxh,Kailangan Kita,spotify:track:4VNXZHKy6HBKGosrWUnMxh,264045,0.933,0.371,0.245,2.67e-05,0.0907,-8.253,0.0324,130.022,0.337,36
Angeline Quinto,@LoveAngelineQuinto,10,3JKbROtYB8oLkAo1nqNrg4,"Para Bang, Para Lang - Acoustic Remix",spotify:track:3JKbROtYB8oLkAo1nqNrg4,233116,0.684,0.641,0.541,1.08e-06,0.301,-7.19,0.0315,93.988,0.357,14
Angeline Quinto,Sana Bukas Pa Ang Kahapon,1,6VeOvyaMBynIqMSY5uZpfx,Gusto Kita,spotify:track:6VeOvyaMBynIqMSY5uZpfx,288000,0.594,0.461,0.474,0.0,0.0976,-7.479,0.0347,71.76,0.276,46
Angeline Quinto,Sana Bukas Pa Ang Kahapon,2,41DL92BdNCc5SVKb0K2mTW,Why Can't It Be,spotify:track:41DL92BdNCc5SVKb0K2mTW,227448,0.635,0.623,0.346,0.0033,0.0987,-8.524,0.0382,125.952,0.189,38
Angeline Quinto,Sana Bukas Pa Ang Kahapon,3,4cn755HC6F6BTjJ0GNEccv,Umiiyak Ang Puso,spotify:track:4cn755HC6F6BTjJ0GNEccv,291944,0.772,0.637,0.49,1.47e-06,0.0715,-7.508,0.0384,129.988,0.327,40
Angeline Quinto,Sana Bukas Pa Ang Kahapon,4,45rkTL4dqJo0ENnY2rkqTI,Someday,spotify:track:45rkTL4dqJo0ENnY2rkqTI,227892,0.263,0.646,0.493,1.09e-06,0.125,-7.314,0.0391,126.139,0.187,30
Angeline Quinto,Sana Bukas Pa Ang Kahapon,5,1Z4S3lmlIU5Cl5XRC2eynj,Wherever You Are,spotify:track:1Z4S3lmlIU5Cl5XRC2eynj,286275,0.907,0.561,0.3,7.84e-05,0.115,-9.397,0.0327,99.821,0.229,32
Angeline Quinto,Sana Bukas Pa Ang Kahapon,6,1WWyNkpStGdwTv0YFWNQiO,Hindi ko Kaya,spotify:track:1WWyNkpStGdwTv0YFWNQiO,304796,0.89,0.621,0.319,3.09e-05,0.089,-8.065,0.0309,109.944,0.256,41
Angeline Quinto,Sana Bukas Pa Ang Kahapon,7,3bSRa6ygplMrySCSBxJAzP,Muli,spotify:track:3bSRa6ygplMrySCSBxJAzP,277028,0.62,0.652,0.37,0.000653,0.111,-9.566,0.0387,126.049,0.229,36
Angeline Quinto,Sana Bukas Pa Ang Kahapon,8,2sEyQuRFRu3U5DGP1mcUOj,Forever,spotify:track:2sEyQuRFRu3U5DGP1mcUOj,241632,0.929,0.378,0.248,3.79e-06,0.093,-8.658,0.0371,117.765,0.334,38
Angeline Quinto,Sana Bukas Pa Ang Kahapon,9,3nq5RxPmKsFmiFFsuzuixx,Sana Bukas Pa Ang Kahapon,spotify:track:3nq5RxPmKsFmiFFsuzuixx,299911,0.935,0.371,0.277,0.000218,0.119,-8.192,0.0314,85.113,0.212,29
Angeline Quinto,Sana Bukas Pa Ang Kahapon,10,2rs03XVHMa2Ov6F93f0JbL,Gusto Kita - Minus One,spotify:track:2rs03XVHMa2Ov6F93f0JbL,287933,0.0831,0.519,0.391,0.111,0.107,-11.586,0.036,72.004,0.293,12
Angeline Quinto,Sana Bukas Pa Ang Kahapon,11,678mSaLBo6aedt4LN9dxjq,Why Can't It Be - Minus One,spotify:track:678mSaLBo6aedt4LN9dxjq,230160,0.165,0.674,0.299,0.826,0.348,-12.585,0.0444,126.052,0.108,11
