playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWYMvTygsLWlG,Love Ballads,150,spotify,Spotify,1889483
37i9dQZF1DWVIzZt2GAU4X,Piano Ballads,75,spotify,Spotify,1489806
37i9dQZF1DX1kydukZhLms,Metal Ballads,110,spotify,Spotify,1079904
37i9dQZF1DX82Zzp6AKx64,Rock Power Ballads,100,spotify,Spotify,1064848
37i9dQZF1DX3tuWZaHjp5y,Romantic Ballads,50,spotify,Spotify,657963
37i9dQZF1DWXs1L3AC0Xio,Rock Ballads,100,spotify,Spotify,622431
37i9dQZF1DWSjwScXt3ScZ,Pinoy Love Ballads,70,spotify,Spotify,397568
37i9dQZF1DX5LEXW9eXA0n,"발라드, 려요 (K-Pop Ballad Hits)",109,spotify,Spotify,337452
1TkCnVCBt7HzhGaNzPj2Tg,80s Ballads Hits,178,sonymusicentertainment,Filtr Sweden,324210
37i9dQZF1DX7L1VcqQ1quZ,90s Ballads,50,spotify,Spotify,247270
37i9dQZF1DXdg0VZ8UGKsU,80s Ballads,85,spotify,Spotify,238058
37i9dQZF1DX4laDTTxplAf,00s Ballads,70,spotify,Spotify,212814
37i9dQZF1DWXrcZh4Kf8Qx,70s Ballads,50,spotify,Spotify,179974
37i9dQZF1DX2baJMpwgH2W,Ballads From The Musicals,50,spotify,Spotify,155578
37i9dQZF1DXaFm6IhSHlyi,Ballads International,150,spotify,Spotify,131968
37i9dQZF1DX3xgbKZSVZNH,Power Ballads,50,spotify,Spotify,127417
37i9dQZF1DWVAWtyHQImlQ,60s Ballads,50,spotify,Spotify,107889
37i9dQZF1DXanyN6gWJKDe,De største ballader,133,spotify,Spotify,38599
37i9dQZF1DX7fEiwpooXwB,Jazz Ballads,100,spotify,Spotify,37808
3zB70HlxyT5f7wObAKSYqe,"Slow Rock Songs 70s 80s 90s | Best Slow Rock Love Songs, Ballads & Classics",55,listanauta,Listanauta,33116
4LvF1pNeM6XDK9IojLALKb,Blues Ballads/ Slow Blues,381,6y24urmtnizh9q2osg5j7d73u,Joar Fosså,32400
4T75fQJbyBh8xXBVi1Hv4K,Greatest Rock Ballads,188,carlosabreu666,Gustavo Thiele,29829
