track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
0tgVpDi06FyKpA1z0VMD4v,Perfect,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,3T4tUhGYeRNVUGevb0wThu,263400,2017-03-03,87,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,37i9dQZF1DWYMvTygsLWlG,Love Ballads
1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,5NGO30tJxFlKixkPSgXcFE,The Police,5W9OT0a5iZlBr83a9WMKFY,253920,1983-06-17,87,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,37i9dQZF1DWYMvTygsLWlG,Love Ballads
0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,58ufpQsJ1DS5kq4hhzQDiI,213826,2012-12-07,86,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795,37i9dQZF1DWYMvTygsLWlG,Love Ballads
3U4isOIWM3VvDubwSI3y7a,All of Me,5y2Xq6xcjJb2jVM54GHK3t,John Legend,4OTAx9un4e6NfoHuVRiOrC,269560,2013-08-30,85,0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,37i9dQZF1DWYMvTygsLWlG,Love Ballads
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,4IWBUUAFIplrNtaOHcJPRM,James Arthur,7oiJYvEJHsmYtrgviAVIBD,211466,2016-10-28,85,0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043,37i9dQZF1DWYMvTygsLWlG,Love Ballads
1dGr1c8CrMLDpV6mPbImSI,Lover,06HL4z0CvFAxyc27GXpf02,Taylor Swift,1NAmidJlEaVgA3MpcPFYGq,221306,2019-08-23,85,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,37i9dQZF1DWYMvTygsLWlG,Love Ballads
50kpGaPAhYJ3sGmk6vplg0,Love Yourself,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,6Fr2rQkZ383FcMqFyT7yPr,233720,2015-11-13,84,0.609,0.378,4,-9.828,1,0.438,0.835,0.0,0.28,0.515,100.418,37i9dQZF1DWYMvTygsLWlG,Love Ballads
1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,1xn54DMo2qIqBuMqHtUsFd,258986,2014-06-21,85,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,37i9dQZF1DWYMvTygsLWlG,Love Ballads
5Nm9ERjJZ5oyfXZTECKmRt,Stay With Me,2wY79sveU1sp5g7SokKOiI,Sam Smith,08jWgM4vSkTose4blKBWov,172723,2014-05-26,83,0.418,0.42,0,-6.444,1,0.0414,0.588,6.39e-05,0.11,0.184,84.094,37i9dQZF1DWYMvTygsLWlG,Love Ballads
2m6Ko3CY1qXNNja8AlugNc,Angel Baby,3WGpXCj9YhhfX11TToZcXP,Troye Sivan,44CdsgXhU5R2esprq0tf43,220779,2021-09-09,83,0.559,0.559,11,-6.425,1,0.0358,0.0145,0.0,0.138,0.338,72.498,37i9dQZF1DWYMvTygsLWlG,Love Ballads
69vToJ9BMbbLlFZo7k7A7B,You Are The Reason,6ydoSd3N2mwgwBHtF6K7eX,Calum Scott,6Vip5A5NmEazvKuxj6GLYf,204326,2018-03-09,81,0.329,0.235,10,-7.699,1,0.0303,0.918,0.0,0.137,0.22,171.006,37i9dQZF1DWYMvTygsLWlG,Love Ballads
7BqBn9nzAq8spo5e7cZ0dJ,Just the Way You Are,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,1uyf3l2d4XYwiEqAb7t7fX,220734,2010-10-05,82,0.635,0.841,5,-5.379,1,0.0422,0.0134,0.0,0.0622,0.424,109.021,37i9dQZF1DWYMvTygsLWlG,Love Ballads
