playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX1lVhptIYRda,Hot Country,52,spotify,Spotify,7002513
37i9dQZF1DWYnwbYQ5HnZU,Country Gold,95,spotify,Spotify,2027608
37i9dQZF1DX8WMG8VPSOJC,Country Kind of Love,85,spotify,Spotify,1583078
37i9dQZF1DWVpjAJGB70vU,90s Country,150,spotify,Spotify,1356302
37i9dQZF1DX5mB2C8gBeUM,Wild Country,86,spotify,Spotify,874536
37i9dQZF1DWYiR2Uqcon0X,Country Coffeehouse,75,spotify,Spotify,686417
37i9dQZF1DX7aUUBCKwo4Y,Country Worldwide Hot 50,50,spotify,Spotify,598777
37i9dQZF1DXaiEFNvQPZrM,Traditional Country,100,spotify,Spotify,585729
37i9dQZF1DXdxUH6sNtcDe,2000s Country,125,spotify,Spotify,549041
37i9dQZF1DX6RCydf9ytsj,80s Country,150,spotify,Spotify,466030
37i9dQZF1DX49poIUZYXp7,Women of Country,100,spotify,Spotify,424820
37i9dQZF1DWXdiK4WAVRUW,2010s Country,200,spotify,Spotify,332116
37i9dQZF1DX7CGYgLhqwu5,60s Country,100,spotify,Spotify,315234
37i9dQZF1DWZBCPUIUs2iR,Country's Greatest Hits,100,spotify,Spotify,315127
37i9dQZF1DWW7RgkOJG32Y,Breakout Country,66,spotify,Spotify,288430
37i9dQZF1DWXLSRKeL7KwM,Energy Booster: Country,150,spotify,Spotify,268817
37i9dQZF1DWWnpcjfCqaW0,50s Country,75,spotify,Spotify,227204
1mJhSx6aYQmINsZ8dG4gzU,Best country songs (greatest hits),209,tebbey671,kevindamia,193564
37i9dQZF1DWVFzWmxRnRJH,Raised on Country,100,spotify,Spotify,163765
37i9dQZF1DX4bf0P6HTTom,Country Rock Classics,50,spotify,Spotify,118822
0v4DvG8cBpHGOBOxVuVvgV,Country Rock Hits,122,joppek27,JK,74003
0v5AneHQFa5FYp94PCiz3e,Country Music 2022 (Top 100),138,l70mtbcfoapp3mst5n81hlkz9,Boisterous Pop,65232
17WrF3wsE02f0B711n9Dfh,Country Love Songs❤️🔥,432,megmo88,sissytelford88,51311
37i9dQZF1DX021HD78u2gQ,Irish Country,71,spotify,Spotify,39984
04l5zHU0ZsEAEhOTxi3ET1,COUNTRY SONGS 2021 🔥 Top Country Hits + New Country Songs,131,williamdzn,Soy William,34629
4uk7b8O86OwqCvPti2Ejbc,Country ❤️,182,caseyhl91,caseyhl91,33113
0kkP1ePcVc0BFFIM4Mf1pb,Country Wedding Songs,129,soundslikenashville,Sounds Like Nashville,32387
37i9dQZF1DX6sc3Xn6L2DK,Cosmic Country,75,spotify,Spotify,26957
2KhRCrlX9I2SbIu2NK2eAV,Old School Country,132,1229606581,Mason Taylor,26628
249vSAsgkCMpMANGVu1s8C,Country Americano - O melhor,150,1230976112,Thiago Arruda,24613
3nzGtIfIcOkN3IrOkJaAn5,Country Bangers Only ,248,blakediehl-us,blakediehl,21307
0CwoSMLelE9VPo1uVIKORz,LANÇAMENTO 2022 MS COUNTRY ,323,12162154353,Lucas Santos,20062
3QIMXokThJRd2QqJOxLul8,Country Gospel Music,63,scsaunders2000,Sydnee Saunders,19588
1pYZSN7QyS5BCQZPhmtWWZ,BEACH COUNTRY,344,megandale24,megandale24,17319
5XgcdeBzILhrcQPLF2Loja,Folk Country,222,1263956858,James Pinson,13731
1oZP0rggzg3Q3CmAfdGkgZ,Country🚜🪕,1921,aidan0911-us,Aidan McLaren,12417
2obrIajjdAn8043mICYF3L,Country Music Hits 80s 90s | Best Country Songs of the 80's & 90's,55,listanauta,Listanauta,12389
4vGgUbD6tW2xMTABaVzCXo,Country New Music Friday,58,whiskeyriff,Whiskey Riff,12245
37i9dQZF1DX5U9LWxuimGj,Country Latino,48,spotify,Spotify,11751
1RnxjslJJP6x0wVqWYp3qw,redneck country!!!!! ,317,1221279380,Frankie Giannese,11189
37i9dQZF1DX3XlzkdkSVVR,Country Rock Drive,80,spotify,Spotify,10734
5DbPMnIRSKCWPQBOJMTcHv,"Country Songs, Blues, Medleys & Love Songs",72,224fug667qxdj26ujaofojkhy,Jac Serdeña Sevilla,9644
4TPquEORP9lqNwCta62M3Y,Country Pickinz: New Music Friday,145,a3x6lj3rtp0tk90ejtm8y6vgr,Country Pickinz,8424
6cfHonxirX8Alngh37x5aa,Country Rap Mix,98,oh4za0jsz0xxomw9shgk41uqn,Daniel Kemble's Favourite Music,8305
29rtLnYh8jaD5dUyNtiG7k,Y2K Country,317,whiskeyriff,Whiskey Riff,7642
4ZI53u97qHxIo27hbClQ7L,Chill Country,134,jnbiggi,jbiggi,7417
6jB3LD77BfONXyF18WE3o4,Country,468,26sf0u692g1sfd46ch45bek9s,JM,6629
1f6rMqHAzzdaiCCjG0Dpbg,"Take me Home, Country Roads",8,buiy833ffkl0jt26yg3aepcqs,ChimpBereau,6366
38GHGQBVylPwHrC3yJWqYu,Rock Country clásicos,56,rickycallejerosdemoreno,Ricardo Ruiz,6197
6ZjH3IFPkXaeG7tuhezVEV,Feel Good Country 🍻,506,langetanner2,Tanner Lange,6052
37i9dQZF1DXbFR6m9YbAYz,Country Gaming,75,spotify,Spotify,5761
5YsQMDloLAKPQkLgDa0ixp,Rex Orange Country Playlist,11,xmcv13iiqip5w6clgdbowb84c,bananamilk,5516
7mdAdXtg7EYHhsdxBMVzHY,Actual Good Country,178,22efz3zheodfvbm7b5o5jywli,Levi Henry,5510
0ue8LUEREzXBZK7nB0zF2v,Hard Rockin' Country,281,ingonator,Ingo Neumann,5483
5pVESO48Fxspp03FldcWcb,Old Country Songs | Best Old Country Music Top Hits 50's 60's 70's 80's 90's,55,listanauta,Listanauta,5236
1jvjtSC5sqLFwVSLiw00uB,Red dirt Country,372,12182866998,Carson McBride,5073
7gxLUDY1b49zGiYbuhXS1A,country ,1148,fionn_elizabeth,fionnlibert,4717
360QZyWoeusi0iwBhbCzGL,Throwback Country,251,kaitlynkreiser19,Kaitlyn Kreiser,4692
6nqnAkv4MlAOfrXR7yY5av,Early 2000s Country💜,224,ashmccall400,Ashley McCall,4599
2woFPE65afxdZ63MQS0RnL,Fall Country🍁,78,cartercigrang,cartercigrang,4417
2RtnekjwIOL0CyG4bWGrUZ,Best Country Love Songs - Ultimate Playlist,57,12156607318,Jay Tighe,4414
6sNULkv7uKNhwuGMJQ0Wgx,Fishing Country Songs 🎣,46,whitec1,whitec1,4168
5Iqqg4Q7Y6gJxRk6HLxLUl,REAL COUNTRY,135,pjeezy15,pjeezy15,4125
6umVrEBLg8pXzENh1yjEAx,Country - Folk Songs,129,michael.artita,Michael Artita,3967
35C1pTpXnIsruPksRHbaJE,"Take Me Home, Country Roads",40,chloe_oneal01,Chloe Ronquillo,3820
1M5RXb8aJAxtoCDqngRceO,PRIME Country🤠,166,skm0q3d5w4iffp351z30c44jd,Bryce,3323
4lb2q0zdlERjhKwbKGyPyb,Country 🍻🌾,173,22cpfe4nzqvpdlsii5q6xcbtq,Alyse Glendinning,3096
5NWjgoSH8VgOc3ICwpWJOz,COUNTRY SONGS 2022 🔥 Top Country Hits + New Country Songs,158,rrdkvqi008fm4278wz1bd9umv,Joacops,2964
0w1K4QUNevqGAumd89aeJm,'80s Country Gold,169,whiskeyriff,Whiskey Riff,2840
5vUViNNGntysBFAgeQ93hF,The GOOD country 🤠,121,raigan11,raigan11,2833
5eCQ5bxHEgBjvO88nv2NBn,Country Campfire,863,magicyemna,Keeley Belanger,2727
3vu5CwSiZoCG5RLWHgjsor,"The Best of Folk, Rock & Country",122,s4psh7ev28i8k3ubnfqofydkw,Viñs,2711
3AUMRkWiK8EjIpP1gExx12,Country bar line dance shit 💃 👢 ,51,or4rxbv7jheg5gg5qt8fnwjk2,crystal,2278
6MyUuRLnaSBj9a3hJLDTXC,sad country shit,94,e64ufin7i4r9b7u3nxcyvrysv,Joseph sharpe,2187
5FBNMgRrK1ZwmcKAyzX9kL,2000-2010 Country,202,cddhockey,cddhockey,2157
1XwEAXjgVRVmoxThgzCbdO,Clean Country Songs,159,wmxozuijwx8e0xyo369vcjt2h,Casey Varabkanich,2108
