track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
0BkzrrQUzJhCAFk3Pq7g29,Hell Yeah,3CygdxquGHurS7f9LjNLkv,Little Big Town,0IqcqqXBaXwUx1IV2jHb6I,175840,2022-04-11,68,0.577,0.601,11,-5.01,1,0.0357,0.146,0.0,0.0886,0.907,171.912,37i9dQZF1DX1lVhptIYRda,Hot Country
6HBRLaSQ7NB8MNlaqzYen1,What My World Spins Around,77kULmXAQ6vWer7IIHdGzI,Jordan Davis,4oTrQ9TmOapgT6uI8W6wsS,186790,2022-05-27,78,0.675,0.726,2,-6.459,1,0.0461,0.105,0.0,0.153,0.671,124.872,37i9dQZF1DX1lVhptIYRda,Hot Country
4tKtMWS8LZRvWhzuHKRIdr,I Can't Love You Anymore,6WY7D3jk8zTrHtmkqqo5GI,Maren Morris,3BEDHGAd2zJh5dUL4dbmiw,169306,2022-03-25,66,0.342,0.591,2,-5.115,1,0.0452,0.217,0.0,0.16,0.399,175.673,37i9dQZF1DX1lVhptIYRda,Hot Country
28n8z9IQKyjMPxmvYMBqZa,The Kind of Love We Make,718COspgdWOnwOFpJHRZHS,Luke Combs,77B78XJKo4LcsrRg34GNTu,224426,2022-06-17,82,0.608,0.745,1,-4.13,1,0.0277,0.0226,6.47e-06,0.0942,0.464,102.025,37i9dQZF1DX1lVhptIYRda,Hot Country
4iy69rTUn8cAY8Q8q9vfOw,Gold,7x8nK0m0cP2ksQf0mjWdPS,Dierks Bentley,2NLp3E2m7Z9JnoLR6eOJYI,167760,2022-07-29,62,0.674,0.873,1,-4.256,1,0.0285,0.0482,0.0,0.18,0.946,115.01,37i9dQZF1DX1lVhptIYRda,Hot Country
6Tm4Io4ct4w14nB1EUzsY3,Whiskey On You,4NYMUsIcUUsBHbV9DICa5x,Nate Smith,3MrvNAqlEsm5iScBAf9Cfm,183789,2022-05-06,79,0.479,0.768,8,-5.204,1,0.0312,7.02e-05,0.00549,0.121,0.576,110.024,37i9dQZF1DX1lVhptIYRda,Hot Country
5OLaVCAM2pqg7X9mAM2W8M,What He Didn't Do,4sIl4BTo9l9KqEi0Y3RE72,Carly Pearce,5lwUnuV4PJekfTcYIbkq6a,191226,2021-09-17,74,0.628,0.632,9,-5.932,1,0.0325,0.257,0.0,0.288,0.559,137.854,37i9dQZF1DX1lVhptIYRda,Hot Country
200x8ONbPfFzByUr3fVz46,She Had Me At Heads Carolina,1mfDfLsMxYcOOZkzBxvSVW,Cole Swindell,5UgaQfAOaOdfLxFClw8EWa,206106,2022-04-08,82,0.607,0.912,8,-3.449,1,0.0611,0.124,0.0,0.332,0.722,134.944,37i9dQZF1DX1lVhptIYRda,Hot Country
4qbibbQ1yK0rPl0JUJS0bz,Every Night Every Morning,34bhyY8jfKez7uKakMfy4y,Maddie & Tae,5T5eTFklQfQHczrSfV7qej,196890,2022-06-24,73,0.618,0.75,7,-4.608,1,0.0287,0.00799,0.0,0.141,0.619,123.885,37i9dQZF1DX1lVhptIYRda,Hot Country
5uU1uuyaUIBOiiUSQG7Wl3,You Proof,4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,2ORO3nNnFXxsvz9Pcd9RdI,157477,2022-05-13,86,0.731,0.85,9,-4.913,1,0.0336,0.252,0.0,0.605,0.644,119.706,37i9dQZF1DX1lVhptIYRda,Hot Country
5JLf54f83nJrxD4IhFaLl7,Brown Eyes Baby,0u2FHSq3ln94y5Q57xazwf,Keith Urban,16epea6WNW5vPhusDbw3xp,224985,2022-07-08,63,0.521,0.833,8,-6.992,1,0.0313,0.0906,3.13e-06,0.0647,0.581,141.944,37i9dQZF1DX1lVhptIYRda,Hot Country
2kEhQe0BVtY8IIaFE5ALA0,Pickup,6nXco5Q3cJJ0ZutnBOsSpq,MacKenzie Porter,75yTVtHRGlobA0IvgGG59X,168447,2021-11-19,73,0.614,0.837,1,-3.967,1,0.0255,0.45,2.49e-05,0.115,0.862,96.977,37i9dQZF1DX1lVhptIYRda,Hot Country
4RG7P0CXQ4pe0OeCAHjX5L,Wild as Her,3sUpZrkehiGBaMzs2h9Mmc,Corey Kent,4mGSNYd2LF27N8MaFwxNFg,199733,2022-03-04,77,0.504,0.736,0,-6.079,1,0.0352,0.00216,0.0,0.129,0.46,148.014,37i9dQZF1DX1lVhptIYRda,Hot Country
3vCUelLOtiuNF78p9LNWZF,Soul,5Zq7R5qmi58ByYyBQTlNuk,Lee Brice,7zhKZcqIJkkeqrswshd15r,167680,2020-11-20,77,0.789,0.642,11,-8.304,1,0.0352,0.357,0.0,0.0985,0.755,121.003,37i9dQZF1DX1lVhptIYRda,Hot Country
3zAOcNGOFq5Q1OsN0tcxA0,Everything She Ain’t,4e9TBaTlI3LVQz3tkTYC0I,Hailey Whitters,761yinsOXW3p74dFBge4c7,151973,2022-01-14,75,0.796,0.621,2,-6.129,1,0.0346,0.175,0.0,0.274,0.808,121.904,37i9dQZF1DX1lVhptIYRda,Hot Country
6AqwH2Y9FJwhUE2dCSkw1u,5 Foot 9,3BEV5FcxOtkQJ7lLRKMh3V,Tyler Hubbard,5CTNA7y4WYhLcCd8ijsnRr,189780,2022-05-20,80,0.602,0.796,5,-5.609,1,0.0465,0.146,0.0,0.125,0.53,106.005,37i9dQZF1DX1lVhptIYRda,Hot Country
58UvLeYJXtFkbkUP3lU6YK,Don't It Sound Alright,4NsVVzuaZGk4aya8Pyacew,Adam Doleac,3zLyedIJvUMz9V6iLeFPlv,218806,2022-04-01,62,0.641,0.547,7,-5.094,1,0.0247,0.0392,0.0,0.0771,0.487,130.061,37i9dQZF1DX1lVhptIYRda,Hot Country
3CC2sCo30DhwOwGI4NN30I,Take It Slow,0y2FPygoi6LVc75pxCgsMk,Conner Smith,7pZWY6EqOlAZnYNW949KbJ,162586,2021-09-10,76,0.594,0.838,5,-3.768,1,0.0323,0.0823,0.0,0.126,0.524,116.012,37i9dQZF1DX1lVhptIYRda,Hot Country
7xNYZeFtrB05pi9tc6lEeb,Pick Me Up,6Iz3eq2aQGFf7TbGT2iahL,Gabby Barrett,0AFaIppKjr2lO1pCjx1wK5,169440,2021-11-05,72,0.472,0.701,2,-4.563,1,0.0369,0.0387,0.0,0.107,0.515,79.805,37i9dQZF1DX1lVhptIYRda,Hot Country
0pnKcAh5binHOP9HexWwnZ,Dancin' In The Moonlight (feat. Lauren Alaina),68abRTdO4meYReMWHvBYb0,Chris Lane,0UsGyt84mXODfb3IteNHdr,199000,2022-06-10,74,0.589,0.829,8,-4.861,0,0.0332,0.0196,0.0,0.128,0.563,121.998,37i9dQZF1DX1lVhptIYRda,Hot Country
