track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,7M842DMhYVALrXsw3ty7B3,175238,2022-08-26,97,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,37i9dQZF1DWZQaaqNMbbXa,Dance Pop Hits
4zN21mbAuaD0WqtmaTZZeP,Ferrari,43BxCL6t4c73BQnIJtry5v,James Hype,6moZ4sNThthUAwCklyuPY8,186661,2022-04-01,91,0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004,37i9dQZF1DWZQaaqNMbbXa,Dance Pop Hits
7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),7CajNmpbOovFoOoasH2HaY,Calvin Harris,7GEzhoTiqcPYkOprWQu581,214846,2018-04-06,90,0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,37i9dQZF1DWZQaaqNMbbXa,Dance Pop Hits
3uUuGVFu1V7jTQL60S1r8z,Where Are You Now,7f5Zgnp2spUuuzKplmRkt7,Lost Frequencies,5YrOK7zze6egKg9a8WRcnD,148197,2021-07-30,89,0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966,37i9dQZF1DWZQaaqNMbbXa,Dance Pop Hits
40SBS57su9xLiE1WqkXOVr,Afraid To Feel,0HxX6imltnNXJyQhu4nsiO,LF SYSTEM,528LrHfHcB7PMAvyp8Obhp,177524,2022-05-02,87,0.578,0.912,1,-3.929,1,0.114,0.0166,0.00362,0.273,0.68,127.87,37i9dQZF1DWZQaaqNMbbXa,Dance Pop Hits
5fwSHlTEWpluwOM0Sxnh5k,Pepas,329e4yvIujISKGKz1BZZbO,Farruko,2A5ksnhz7YWbRLvFMjX1j1,287120,2021-06-24,87,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,37i9dQZF1DWZQaaqNMbbXa,Dance Pop Hits
18asYwWugKjjsihZ0YvRxO,The Motto,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,278z9UXJaMNDH9Bel9uAxV,164818,2021-11-04,87,0.754,0.763,7,-4.627,0,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953,37i9dQZF1DWZQaaqNMbbXa,Dance Pop Hits
1bgKMxPQU7JIZEhNsM1vFs,Words (feat. Zara Larsson),4AVFqumd2ogHFlRbKIjp1t,Alesso,66W7mt0wKGLFALilLBLfU6,142677,2022-04-22,86,0.739,0.586,10,-5.079,0,0.0472,0.0245,0.000252,0.308,0.444,124.026,37i9dQZF1DWZQaaqNMbbXa,Dance Pop Hits
0nrRP2bk19rLc0orkWPQk2,Wake Me Up,1vCWHaC5f2uS3yhpwWbIA6,Avicii,2H6i2CrWgXE1HookLu8Au0,247426,2013-01-01,86,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,37i9dQZF1DWZQaaqNMbbXa,Dance Pop Hits
1WCEAGGRD066z2Q89ObXTq,Crazy What Love Can Do,1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,0GnxssqYa2RU9EdWHhZ707,169756,2022-04-08,86,0.601,0.713,4,-3.758,0,0.0449,0.0282,0.0,0.158,0.464,122.872,37i9dQZF1DWZQaaqNMbbXa,Dance Pop Hits
