playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie,75,spotify,Spotify,2209608
37i9dQZF1DWWEcRhUVtL8n,Indie Pop,75,spotify,Spotify,1695025
37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock,120,spotify,Spotify,1693463
37i9dQZF1DXdbXrPNafg9d,All New Indie,175,spotify,Spotify,1240238
37i9dQZF1DWVV27DiNWxkR,Sad Indie,91,spotify,Spotify,1170992
37i9dQZF1DWUoqEG4WY6ce,Indie Rock Road Trip,100,spotify,Spotify,914003
37i9dQZF1DX30HHrCAl4ZG,Today's Indie Rock,100,spotify,Spotify,835007
37i9dQZF1DX9B1hu73DioC,Indie Chillout,75,spotify,Spotify,743940
37i9dQZF1DX26DKvjp0s9M,Essential Indie,100,spotify,Spotify,660145
37i9dQZF1DWXx6OpWBkqVv,Indiespensável,65,spotify,Spotify,625021
37i9dQZF1DWU6aakG7fctq,el nuevo indie,70,spotify,Spotify,502493
37i9dQZF1DX91UQmVbQYyN,EQUAL Indie,100,spotify,Spotify,498443
37i9dQZF1DX4geSlFB9288,Indie Gaming,100,spotify,Spotify,428872
37i9dQZF1DXdTb8AG95jne,In The K-Indie,50,spotify,Spotify,396892
37i9dQZF1DX0CIO5EOSHeD,Lo-fi Indie,100,spotify,Spotify,372704
37i9dQZF1DX9LbdoYID5v7,The 2000s Indie Scene,75,spotify,Spotify,318732
37i9dQZF1DXd82NU5rAcTZ,IndieNesia,80,spotify,Spotify,308066
37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix,86,spotify,Spotify,286699
37i9dQZF1DX5y8xoSWyhcz,indie pop & chill,99,spotify,Spotify,201756
37i9dQZF1DX8hY56Fq3fM0,Energy Booster: Indie,100,spotify,Spotify,162464
37i9dQZF1DWX21Ue9Rttn8,Indie Triste,50,spotify,Spotify,145840
37i9dQZF1DXdHPp93Fnfds,Mujeres del Indie,80,spotify,Spotify,143374
37i9dQZF1DWV8ttjhONFA1,Indie Argentina,100,spotify,Spotify,142430
37i9dQZF1DX8RvHJklfhit,Latin Indie Classics,100,spotify,Spotify,128875
37i9dQZF1DWVxoleDT3ILq,Indie Chile,100,spotify,Spotify,126190
37i9dQZF1DWZ0Zsena4JFh,Indielandia,50,spotify,Spotify,113707
37i9dQZF1DXe4qIBASHIrI,Indie Mexicano: Clásicos,100,spotify,Spotify,101407
37i9dQZF1DWVbu3wLXA48X,Indie Shuffle,75,spotify,Spotify,99115
37i9dQZF1DX4z6u7kMqQvX,Amor Indie,100,spotify,Spotify,86108
3BoDuzb3DqT0hmpkZwu2sP,INDIE TIKTOK SONGS THAT DON'T SUCK,165,oam52q6xp4xf0sfckcj7irspa,Nobody Gets It,82206
37i9dQZF1DWW0OFelDHUJP,Rain On Indie,59,spotify,Spotify,80256
5tOffZXVBFTMS7mkKQ3tpX,Indie Folk Chill,267,rj9wvs6jynpiwpzb5s99rwu6f,CaffeinatedFox,75060
1E8HDaDy8mM2otQwsFqRiD,Indie Chill,104,qb2j1wjtzlu5xqgmzzb9xgmkz,BubblyBullinidae,66732
69iMzXWIJDSEMrCqgBq7nr,Indie Rock Hits 🎸,243,m91zhgclzoujm5x6i1ods2wsu,oceanify,66040
1PkLqSEP0rFaw6pw94DZbP,indie pop 2022,81,0dj2572qric0zcufh06e2fk56,GreaseRelease,55377
37i9dQZF1DX31cAExLdyNB,Onda Indietrónica,69,spotify,Spotify,52068
37i9dQZF1DWVPZhZJQP9HE,Tamil Indie,101,spotify,Spotify,50699
37i9dQZF1DX8j8N3CkBtqv,Naya Indiestan,50,spotify,Spotify,48697
73HlvfG6CZXXANptRdlFXF,indiefaction,82,31gmqi3w6fgep46vq2fnrm5nyjqu,EAFY,47469
37i9dQZF1DX9VBcReWYoP0,Indie Disco,90,spotify,Spotify,45909
4iCBFdFuocyzFxPC9S4LLz,Indie Feeling,95,l2zbzazz4673at59uyyb1os4y,Indie Feeling,41752
4VLwXrmriLIRY89vHmYNUi,Indie Rock | IndieTIME,96,kmd1nbdh408uz5gd690rkdl4y,IndieTIME,39784
37i9dQZF1DX9Kz7jBbxgYQ,Desi Indie ,80,spotify,Spotify,37899
0qYAqOsMGJPntjVEKV5WOF,indie rock,288,nateccc321,nateccc321,36677
37i9dQZF1DX93iJeaL99GF,Legends of Indie India,35,spotify,Spotify,35452
37i9dQZF1DWVwRuJjs9A3S,Indie Highlights,80,spotify,Spotify,32492
3wTzNdDb43h9pqCY3TrKxw,indieitaly,50,r2m45jjydwt3r1wpzkot17tjg,indieitaly,29024
37i9dQZF1DWVxw3dS5TNqn,Indielista,65,spotify,Spotify,27292
37i9dQZF1DX6HJZtcjGrCn,Indie Lusitano,80,spotify,Spotify,26681
61wCeISpu6SYd6EtLCqPW8,sad indie songs for sad nights,111,aiy51g3ykg3rj1tx66bfhvndm,calm beats,25558
7sN2RWMEqZ93bMgZhbY7AX,Rock Indie\Alternativo,206,miguelsaless,cruzeesporteFC,24533
37i9dQZF1DWYqfaEyH6O9U,Onda Indie,80,spotify,Spotify,23987
3l3ffQWC77OyjpP5UYLZe7,Indie songs 🍄,60,yztnryddec2brzlffoyo7cj7h,Millie <3,22835
6vrcSU9RLRsBopb6CXyACU,Indie Italia🎼,291,31rld3zuoh6ahl3hxnsnhqdo5axq,Eleonora Vannicelli,22667
1pQSn72B64hDQeevFMJ5lw,Indie Rock Music 🎸 ,151,31un7ph44msc2dbobbi4frtdyplu,Listly,22391
30Zp2r5erHeBJNQi1boSij,upbeat indie pop that i could dance to all night ,210,doctorwho0208,s🫧,22268
1Qs40FRP061tVZ9x2npAE3,Indie Folk 2022,100,indiefolkradio,Indie & Folk Radio,21514
1UsDxFhRXuy3pfRMAoqi1S,90s IndiePop (Hindi),56,21dyhqmkurdn6longfv62uvbi,Simran Tantia,18796
37i9dQZF1DX2E5psOxzjXz,Pakistani Indie 101,67,spotify,Spotify,18300
