playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DXcfJb5A3855D,Pinoy Karaoke Hits,50,spotify,Spotify,537131
37i9dQZF1DWVP9nDJmt4EV,Girl Power Karaoke,40,spotify,Spotify,451036
37i9dQZF1DX7cPysYje7pn,Karaoke Duets,50,spotify,Spotify,201307
37i9dQZF1DX2nwuHNKim4S,Karaoke Party,35,spotify,Spotify,177110
439GRGyrRa8lcML6cuLtj0,Hits zum Mitsingen | Karaoke Hits,59,warner.music.central.europe,Topsify Deutschland,151546
37i9dQZF1DXcHG4x5MYzpJ,Karaoke Regional Mexicano,125,spotify,Spotify,120228
37i9dQZF1DX5ICoVUm52hQ,Karaoke Mexicano,80,spotify,Spotify,112784
37i9dQZF1DX0mi9kezFJ0K,Karaoke Classics,50,spotify,Spotify,112344
7ur6pXXdrQYZHVK5qRPbXa,karaoke/sing along vibes,200,12159933086,Zoe Chaya,64579
37i9dQZF1DX3jEXA6PtXeV,Jom Karaoke!,50,spotify,Spotify,55549
5jTkE0z8RM5ijInIHTOixF,Best Karaoke Songs Ever,127,teenvogue.,Teen Vogue,40964
37i9dQZF1DX0qVgUFKIZBO,Fiesta & Karaoke,75,spotify,Spotify,39952
74NFoSnyz7zIrE4HOSPhQ3,Carpool Karaoke (2000s),241,22nybw25ttexss65o3f4oyceq,Andrew Zhong,22669
37i9dQZF1DWSX0V6Ql71fF,Karaoke en el Auto,50,spotify,Spotify,20904
1iHVS7ScZH3fkOcpcM4aEi,Karaoke pa pegarse el show en el auto,150,43zfqbcwxo3b37s40kk49dqkh,amikasa.cl,19478
37i9dQZF1DX9HLZ1HlBcqR,Selena Fiesta Karaoke,25,spotify,Spotify,14691
724i0E7HOXaJvxbgbZnLK2,YAKUZA KARAOKE (ALL SONGS),136,bandit!atthedisco,riah,14375
37i9dQZF1DX28hgnI6zNh3,Karaoke Hits デュエット編 2022年9月ランキング,50,spotify,Spotify,12005
1JgUHmxVqDMQZhNt3OjDSl,Acoustic Karaoke,1847,sing2piano,Sing2Piano,11953
2Zq9LpczH6tGkt3URsJNa0,Karaoke México ✌,271,12186313981,Belén Paulina Navarro,7953
5ffipPUcApw6RsLBMYI5fu,KARAOKE LATINO🎤🇪🇸,217,bpereze,bpereze,7937
3SPoFfkzWNBbsuXZuLiAJN,Carpool Karaoke,107,31efc2cmkxzn2gnw2walbzpne5zy,Juicy Fest,7806
12AF2ktgoqoOirqzgWygTG,Karaoke Chile 🇨🇱,164,santisalaberry21,Santiago Salaberry,7654
3pe5WNpr6IY2JGnAPj1pwb,Karaoke Playlist,149,kaveinn,kaveinn,7159
0Lxuf7eonLPXrlVYvwzxFs,KARAOKE MINUS ONE 🎤🎶,131,12161879413,Ira Lagundino,5917
1hNNEUdTUmIzJ4MY9KRVOL,Karaoke en el carro 😎🏎🚦,597,12148907723,Axel Casas,5754
37i9dQZF1DX1Mj6nQRkc5p,Karaoke Classics,65,spotify,Spotify,4618
6qaWvkKJN6A8PZzTlaXMSf,Carpool Karaoke Classics,604,1213986666,Andrew Johnson,4040
3n3W0kUh1n5NpvXRR6SSKA,Taylor Swift - Karaoke,88,wompie01,wompie01,4007
3utxAj9TtekhZwhHSOg7l8,Karaoke de vieja qla,199,britanic.arancibia,Brit 🌺,3943
2eLGe4qLHBJmGkn14e0btl,female karaoke songs,114,5xqzkjmgynjhuehvqlsxldeqx,Jesi,3133
2cFirBz9C5xcT8qLnap2Ul,Pinoy Karaoke Songs,149,khatsou,khatsou,3040
7vA5jghQrBB8YD9ATkyw2X,Karaoke Indonesia,36,helmybrachest,Muhammad Helmy Anggara,2652
2ydyIaxEYvkMtefJBIIEqK,Karaoke bangers,223,zac.mckay-nz,zac.mckay-nz,2253
