track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
1FHCU1rDAeaPsBW9byjJ0Q,12:51,09DdQEMQaaq0f99vqqub3V,krissy & ericka,5M4GVkxOl3joHIkvNrAlbJ,246280,2011-01-01,64,0.503,0.357,3,-9.36,1,0.0272,0.727,0.0,0.128,0.438,136.135,37i9dQZF1DXcfJb5A3855D,Pinoy Karaoke Hits
3JvKfv6T31zO0ini8iNItO,Another Love,2txHhyCwHjUEpJjWrEyqyX,Tom Odell,0Gf1yE895FKK4YWVRuAeg8,244360,2013-06-24,93,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,37i9dQZF1DXcfJb5A3855D,Pinoy Karaoke Hits
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,4xkM0BwLM9H2IUcbYzpcBI,240400,2013-04-19,92,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,37i9dQZF1DXcfJb5A3855D,Pinoy Karaoke Hits
3AJwUDP919kvQ9QcozQPxg,Yellow,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,6ZG5lRT77aJ3btmArcykra,266773,2000-07-10,90,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,37i9dQZF1DXcfJb5A3855D,Pinoy Karaoke Hits
1UI0l2L66HJ9AtoEOlHzv4,Sometimes,26dSoYclwsYLMAKD3tpOr4,Britney Spears,3WNxdumkSMGMJRhEgK80qx,245066,1999-01-12,69,0.745,0.742,10,-5.693,1,0.0259,0.42,0.0,0.102,0.806,95.996,37i9dQZF1DXcfJb5A3855D,Pinoy Karaoke Hits
09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,4qZBW3f2Q8y0k1A84d4iAO,228373,2018-03-30,90,0.461,0.593,1,-4.954,1,0.0356,0.17,0.0,0.307,0.175,134.17,37i9dQZF1DXcfJb5A3855D,Pinoy Karaoke Hits
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,2sBB17RXTamvj7Ncps15AK,200185,2018-04-19,89,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,37i9dQZF1DXcfJb5A3855D,Pinoy Karaoke Hits
6HU7h9RYOaPRFeh0R3UeAr,deja vu,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,6s84u2TUpR3wdUv4NgKA2j,215506,2021-05-21,88,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,37i9dQZF1DXcfJb5A3855D,Pinoy Karaoke Hits
5O2P9iiztwhomNh8xkR9lJ,Night Changes,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,4gCNyS7pidfK3rKWhB3JOY,226600,2014-11-17,88,0.672,0.52,8,-7.747,1,0.0353,0.859,0.0,0.115,0.37,120.001,37i9dQZF1DXcfJb5A3855D,Pinoy Karaoke Hits
4rTeOSYqwXNz5qPR2DUTFZ,Everybody (Backstreet's Back) - Radio Edit,5rSXSAkZ67PYJSvpUpkOr7,Backstreet Boys,1SFKmqhTTEkE3PmSBEMpa3,224960,2013-06-10,65,0.735,0.873,10,-3.493,0,0.0402,0.025,3.27e-06,0.265,0.586,108.021,37i9dQZF1DXcfJb5A3855D,Pinoy Karaoke Hits
