,album_id,album_name,release_date_x,artist_name_x,track_id,track_name,artist_name_y,release_date_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,7cN9KS7I77TwOIrEKO96TE,"Morissette at 14, Vol. 2",2021-06-25,Morissette,6f248KBfVTSUU8EJ6ibHrM,What Do You See in Me (2021 Piano Version),Morissette,2021-06-25,0.502,0.426,4,-3.383,1,0.0284,0.793,0.0,0.107,0.268,84.002,audio_features,6f248KBfVTSUU8EJ6ibHrM,spotify:track:6f248KBfVTSUU8EJ6ibHrM,https://api.spotify.com/v1/tracks/6f248KBfVTSUU8EJ6ibHrM,https://api.spotify.com/v1/audio-analysis/6f248KBfVTSUU8EJ6ibHrM,191524,4
1,7cN9KS7I77TwOIrEKO96TE,"Morissette at 14, Vol. 2",2021-06-25,Morissette,7Ca2H8G6YsjpUWJQUDxtCT,Can't Hold a Candle,Morissette,2021-06-25,0.657,0.598,1,-3.578,0,0.0299,0.409,0.0,0.141,0.42,119.98,audio_features,7Ca2H8G6YsjpUWJQUDxtCT,spotify:track:7Ca2H8G6YsjpUWJQUDxtCT,https://api.spotify.com/v1/tracks/7Ca2H8G6YsjpUWJQUDxtCT,https://api.spotify.com/v1/audio-analysis/7Ca2H8G6YsjpUWJQUDxtCT,207148,3
2,7cN9KS7I77TwOIrEKO96TE,"Morissette at 14, Vol. 2",2021-06-25,Morissette,2yW8L6GvFFdKGhBqGrUk2q,Don't Forget,Morissette,2021-06-25,0.572,0.87,2,-3.713,1,0.0382,0.142,0.0,0.0407,0.655,136.961,audio_features,2yW8L6GvFFdKGhBqGrUk2q,spotify:track:2yW8L6GvFFdKGhBqGrUk2q,https://api.spotify.com/v1/tracks/2yW8L6GvFFdKGhBqGrUk2q,https://api.spotify.com/v1/audio-analysis/2yW8L6GvFFdKGhBqGrUk2q,199488,4
3,7cN9KS7I77TwOIrEKO96TE,"Morissette at 14, Vol. 2",2021-06-25,Morissette,12XJqY3vwmBeiNo0Zdfjw1,Ring Ring Ring,Morissette,2021-06-25,0.594,0.728,6,-2.831,1,0.0394,0.00035,4.95e-06,0.0635,0.84,129.98,audio_features,12XJqY3vwmBeiNo0Zdfjw1,spotify:track:12XJqY3vwmBeiNo0Zdfjw1,https://api.spotify.com/v1/tracks/12XJqY3vwmBeiNo0Zdfjw1,https://api.spotify.com/v1/audio-analysis/12XJqY3vwmBeiNo0Zdfjw1,189260,4
4,7cN9KS7I77TwOIrEKO96TE,"Morissette at 14, Vol. 2",2021-06-25,Morissette,2v7q9mr7pWtIw3CK3fuAd9,All of the Above,Morissette,2021-06-25,0.625,0.881,5,-2.111,1,0.0466,0.0791,0.0,0.719,0.586,115.993,audio_features,2v7q9mr7pWtIw3CK3fuAd9,spotify:track:2v7q9mr7pWtIw3CK3fuAd9,https://api.spotify.com/v1/tracks/2v7q9mr7pWtIw3CK3fuAd9,https://api.spotify.com/v1/audio-analysis/2v7q9mr7pWtIw3CK3fuAd9,213844,4
5,7cN9KS7I77TwOIrEKO96TE,"Morissette at 14, Vol. 2",2021-06-25,Morissette,6g2QCJa5KygsN0grpTzJAz,Handle It,Morissette,2021-06-25,0.67,0.63,3,-3.112,1,0.173,0.167,0.0,0.653,0.909,108.731,audio_features,6g2QCJa5KygsN0grpTzJAz,spotify:track:6g2QCJa5KygsN0grpTzJAz,https://api.spotify.com/v1/tracks/6g2QCJa5KygsN0grpTzJAz,https://api.spotify.com/v1/audio-analysis/6g2QCJa5KygsN0grpTzJAz,197153,4
6,7cN9KS7I77TwOIrEKO96TE,"Morissette at 14, Vol. 2",2021-06-25,Morissette,3J4ZEKhuUxTWjUCcjVk64L,Leave Em at the Door,Morissette,2021-06-25,0.686,0.862,1,-2.728,0,0.152,0.104,0.0,0.823,0.57,99.98,audio_features,3J4ZEKhuUxTWjUCcjVk64L,spotify:track:3J4ZEKhuUxTWjUCcjVk64L,https://api.spotify.com/v1/tracks/3J4ZEKhuUxTWjUCcjVk64L,https://api.spotify.com/v1/audio-analysis/3J4ZEKhuUxTWjUCcjVk64L,166427,4
7,7cN9KS7I77TwOIrEKO96TE,"Morissette at 14, Vol. 2",2021-06-25,Morissette,2orItodWIgoDLcTbPxqjmL,Swat da Bug,Morissette,2021-06-25,0.688,0.858,5,-2.095,0,0.128,0.0272,0.0,0.548,0.925,100.154,audio_features,2orItodWIgoDLcTbPxqjmL,spotify:track:2orItodWIgoDLcTbPxqjmL,https://api.spotify.com/v1/tracks/2orItodWIgoDLcTbPxqjmL,https://api.spotify.com/v1/audio-analysis/2orItodWIgoDLcTbPxqjmL,188882,4
8,4dCZOd9u35GrSSNSQ2NEyX,"Morissette at 14, Vol. 1",2020-11-20,Morissette,3GLe8gHjxFUb4utOaaG69H,Look What You've Done,Morissette,2020-11-20,0.452,0.549,4,-4.703,0,0.0274,0.683,0.0,0.332,0.367,168.002,audio_features,3GLe8gHjxFUb4utOaaG69H,spotify:track:3GLe8gHjxFUb4utOaaG69H,https://api.spotify.com/v1/tracks/3GLe8gHjxFUb4utOaaG69H,https://api.spotify.com/v1/audio-analysis/3GLe8gHjxFUb4utOaaG69H,255127,4
9,4dCZOd9u35GrSSNSQ2NEyX,"Morissette at 14, Vol. 1",2020-11-20,Morissette,4zLJPCxD78xOgMQ3z4ofoY,Don't Let Go,Morissette,2020-11-20,0.533,0.594,10,-4.83,1,0.0277,0.274,0.0,0.136,0.151,109.966,audio_features,4zLJPCxD78xOgMQ3z4ofoY,spotify:track:4zLJPCxD78xOgMQ3z4ofoY,https://api.spotify.com/v1/tracks/4zLJPCxD78xOgMQ3z4ofoY,https://api.spotify.com/v1/audio-analysis/4zLJPCxD78xOgMQ3z4ofoY,235288,4
