playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
01Athlv7isWZX49y9gfPAx,OPM OST,67,denise.jimena,Denise Francesca Jimena,600
6oeZPenMbR1PDRUXZIhwzh,OPM OST Style,56,vmg84ew277tekpd8ezqs9sq38,isadalawaofficial,46
5675UaJ7OscPdz1CxLvndJ,kdrama opm ost ,77,lorica_jovel,lorica_jovel,10
0PdHlFdCTzCqAe4QmXnZm6,OpM OsT,11,31mly67h4suxxihngjezum4fpijq,Álefe Domingos,10
2JM0atKSUBjsLuUpMatxHp,OPM OST's,34,zu2md58cnjkdowq2mlfqaehis,Ivy,5
0nIBOb5qtBsGNTyIQpuxQX,K-DRAMA OPM OST,19,rzljq80xny2bruk7xdrak6mrl,benjbondoc,3
1Uh8LQESBVbHriGHr2cjHI,OPM OST,131,pau018,pau018,2
6AQ8rVPftVWryfHLaVpCMx,Opm ost,14,jerwino9,jerwino9,2
1lCcJrsx0RyumbUnrLpHDL,Opm OST,34,216nfomirlvsvnitmodbw4m4a,Bobet L. Nagpacan,2
7we3bQkPbsviN8KtXYCq2s,OPM OST Early 2000's,32,12164215344,Girlie,2
2rIwa6jpKtKfQGkkGsWgph,opm ost,30,trishdale09,trishieee,1
6tTqAcXrQFgAUNkEq7SoXg,OPM OST,20,bzu245od7u6viq8kjo1c4ab4n,YongSeo Goguma,1
1fRNHFMar6T8Bxquyp4EPq,OPM osts,4,22booidwzdgjglwt7z3esbqdy,Elaine Grace,0
49ni4dv4VdFDD8ryqq8tGu,OPM OST,11,31rv5ftcrngcvsqt3dca7e3a6lym,Cathy,0
2QJe2x6GpDXIk1pW3YJDZx,OPM ost,66,31ukonrey3luaxggzoocjudntnre,Aisahsalic,0
14zlePtbLJTk3hf5e5ksNp,OPM OST,134,hxoeafhhpn07syd3uxsocwc49,Yheng,0
3Q1ABn3EkMzbUl1wzWF2Ld,OPM OST Songs,21,314qhj5nwaagwmkvqww5r44p3e3q,cece,0
6pf0pcYUMBcXWzfjPMgf6Q,opm ost,16,6b6r4732ccksvr66ecyyjz8s8,Bayerestrella,0
1GedlIaIWSliy6aTWJTapk,OPM Ost,23,22yrxdkp5zwk6xuj3ajflyomy,Jon Esp,0
0939s3SbpmcsLXcosznmnO,Opm OST,6,z0l1sspf63od3824dnt7gbt10,Jeenaprildeleon,0
