track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
1P18xBNQOjOB8VMSbzaTcC,Paano Ba Ang Magmahal,2GqX0GnrKdi6Z2X2OReYOK,Piolo Pascual,404BpOZQ8Nll0Tj58bh6SH,290246,2015-06-24,0,0.544,0.583,0,-6.446,1,0.0314,0.509,0.0,0.0436,0.157,144.052,01Athlv7isWZX49y9gfPAx,OPM OST
3XeeAxgAc57OF1qFScuxsh,Very Special Love,6aiCKnIN68hohzU3ZzNq48,Sarah Geronimo,41gfafRSUWqi31nJj0wr4Z,242533,2009-05-11,0,0.641,0.631,0,-5.691,1,0.0262,0.438,0.0,0.234,0.334,100.951,01Athlv7isWZX49y9gfPAx,OPM OST
0OgYllPLVK9uWrIlJO1kvc,Right Here Waiting,6aiCKnIN68hohzU3ZzNq48,Sarah Geronimo,41gfafRSUWqi31nJj0wr4Z,250733,2009-05-11,0,0.511,0.451,4,-7.215,1,0.0242,0.645,0.0,0.282,0.12,89.008,01Athlv7isWZX49y9gfPAx,OPM OST
2Yk4vKH8mhKjjfqvsoojuf,Please Be Careful With My Heart (duet w/Christian Bautista),6aiCKnIN68hohzU3ZzNq48,Sarah Geronimo,41gfafRSUWqi31nJj0wr4Z,217240,2009-05-11,0,0.533,0.277,5,-9.747,1,0.0259,0.764,0.0,0.101,0.338,99.802,01Athlv7isWZX49y9gfPAx,OPM OST
4T0J3i8yPe8IZ1gAenzJNu,It Takes a Man and a Woman,6aiCKnIN68hohzU3ZzNq48,Sarah Geronimo,7qLloKuh0elEAbq9O5pUTc,229306,2013-07-22,0,0.452,0.465,0,-8.314,1,0.0483,0.688,0.0,0.122,0.0663,88.578,01Athlv7isWZX49y9gfPAx,OPM OST
2GAV1Q4JNeCPTJrOZTneFE,I Won't Last A Day Without You,6aiCKnIN68hohzU3ZzNq48,Sarah Geronimo,53ww6Rn99WxV6oxrSqGvTd,220267,2012-02-02,0,0.518,0.447,5,-8.513,1,0.0393,0.693,0.0,0.078,0.193,81.47,01Athlv7isWZX49y9gfPAx,OPM OST
4zOTlOqy35ACAEwcLAltyx,You Changed My Life In A Moment,6aiCKnIN68hohzU3ZzNq48,Sarah Geronimo,5k7aWTsQLspOM6FgbtV4Xr,210760,2009-03-04,0,0.392,0.46,1,-8.584,1,0.0324,0.794,0.0,0.172,0.373,161.26,01Athlv7isWZX49y9gfPAx,OPM OST
01fEn3qoq6FByg5EvQPabX,Dahil Minahal Mo Ako,6aiCKnIN68hohzU3ZzNq48,Sarah Geronimo,5a9qJ6viJ9veNfFlnoBRuB,251586,2011-12-11,0,0.546,0.567,10,-6.241,0,0.0275,0.599,0.0,0.368,0.202,134.997,01Athlv7isWZX49y9gfPAx,OPM OST
0CjCFd69rsmubjYlmvSIMF,Why Can't It Be,7DW4ijH3n36QN0RlC0n649,Angeline Quinto,6brd7B5qnaxDDhogtz8Qwv,227448,2014-06-30,0,0.623,0.346,9,-8.524,1,0.0382,0.635,0.0033,0.0987,0.189,125.952,01Athlv7isWZX49y9gfPAx,OPM OST
1PolDT6VGejjxyHi6tP8VO,Awit Ni Ginny,5BAyYwbv8OSfqeXMjPgWX6,Toni Gonzaga,11RYGsTNM27H8M1Cq9xwdw,268373,2014-05-20,0,0.498,0.613,4,-5.323,1,0.0296,0.372,0.0,0.215,0.231,144.811,01Athlv7isWZX49y9gfPAx,OPM OST
4LDg0nHjYdG4FrI5BugqMH,Starting over Again,5BAyYwbv8OSfqeXMjPgWX6,Toni Gonzaga,11RYGsTNM27H8M1Cq9xwdw,246813,2014-05-20,0,0.535,0.441,0,-6.481,1,0.0293,0.474,1.21e-06,0.108,0.256,119.706,01Athlv7isWZX49y9gfPAx,OPM OST
58g6o3mGu7rMbwPIMIpGVE,If Ever You're In My Arms Again,7Gr1RYNVUBLrT6RARqqljG,Toni Gonzaga/Sam Milby,6VMLon39MlBtd1xzyY4UFv,253756,2011-09-30,0,0.32,0.586,3,-5.422,0,0.0252,0.0295,0.0,0.0918,0.209,94.468,01Athlv7isWZX49y9gfPAx,OPM OST
