playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX0XUsuxWHRQd,RapCaviar,50,spotify,Spotify,14673224
37i9dQZF1DX76t638V6CA8,Rap Workout,59,spotify,Spotify,1801950
37i9dQZF1DX8Kgdykz6OKj,Jazz Rap,100,spotify,Spotify,1012238
37i9dQZF1DWTf69iQOGkD2,Rap Acústico,80,spotify,Spotify,505672
37i9dQZF1DWXJnyndhASBe,RAP GENERACJA,50,spotify,Spotify,416850
37i9dQZF1DXdxFkXW4j8RX,Rap Chileno,100,spotify,Spotify,300676
37i9dQZF1DXaljDe6fISR1,Gigantes do Rap Nacional,65,spotify,Spotify,285776
37i9dQZF1DWYBofUhpgE88,Rap Motivazionale,70,spotify,Spotify,280271
4riovLwMCrY3q0Cd4e0Sqp,Rap Hits (2010 - 2022),289,dvagnb8spc28pcdoamkq1479m,Membrives,225877
37i9dQZF1DWUQru3jd69v5,Raptopia,50,spotify,Spotify,212909
2ShOlsYaCI45S8Y4hMxU7e,Rap Worldwide,35,31ksmxvumqkofpq7v7lwxfrtepbm,Hits Music,177074
4wJJY7tYsrxhHGpGYuJo7K,WORKOUT RAP 2022🔥 ,177,b2umpujki69td3thrxvmu0ajn,Bass Lovers,175154
0oPq9bWRQDjXm0dkI8xr5G,Rap Hits 22,35,31yknuz2p3ub5z5kx4vcquskss7i,SpotMusicx,164508
009iSBUVKTJv0UFCfQow2t,Rap Workout 2022: Hip Hop Music For The Gym 💪,189,r4y2djwlgolw2fg3vhbyaivhc,Curatify.,155070
37i9dQZF1DX3HUaZJRcDLd,Rap klub,60,spotify,Spotify,130441
1DHm0EVXVcOstCWH5GGomA,Rap Slaps 🔥 Hip Hop Hits,146,kfvshl89wr6t8eevqv4t2igdq,BLNDR,125192
3QVE4SH10CAKr0Lj8xesT2,Rap Nacional 2022 🔥 SÓ AS BRABA!,99,filtr.br,Filtr Brasil	,104575
4icCqCFWKr3Zgn4LIAUSet,Rap Caviar,34,31z2f3t3l24the7jyjslb7knds6m,Spotispow,103611
37i9dQZF1DWUUeLChAs7Px,Best Rap Songs of 2017,50,spotify,Spotify,102802
37i9dQZF1DXa3d3ljLBxSG,Rap motywacja,70,spotify,Spotify,93697
37i9dQZF1DX5qf3Iz15QLv,Bago Sa Rap,55,spotify,Spotify,80087
37i9dQZF1DWTZeTXqKTge4,Rap québ,75,spotify,Spotify,74054
0DmSdNrUjJWqXD7UnUGVn8,RAP 2022 - SÓ AS BRABA,86,22navoyncyk67zwp2qg7vt7la,CP no Beat,64902
5rdwHpbIetBEI954O66dGa,RAP,28,632kv7879j3dodo3rzgpr65ql,The Wave Network,60741
37i9dQZF1DX35mEXECRn6o,viral rap,95,spotify,Spotify,59400
37i9dQZF1DX38t16fuNXJJ,Best Rap Songs of 2000,50,spotify,Spotify,56046
7pw7RGblcqxb6peyRO6Eyv,Fresh Rap,35,31z2f3t3l24the7jyjslb7knds6m,Spotispow,54202
6P6IWTe4vDckBhEYys6p1l,Top Rap,35,31z2f3t3l24the7jyjslb7knds6m,Spotispow,52314
37i9dQZF1DX8dQ571UG10R,Rap Geek,49,spotify,Spotify,49518
0Cvbuwej6GdgQw5pJ51TtH,Rap Songs 2022  🔥  Rap Music : Hype Music ,136,sanik007,Indiemono,48714
37i9dQZF1DWSQqwba4QPMZ,RapPrezent,50,spotify,Spotify,46242
37i9dQZF1DX4O0AdBo80OE,Rap Latte,60,spotify,Spotify,45062
37i9dQZF1DWVWkDeZT3s1w,Rap Conciencia,50,spotify,Spotify,44677
37i9dQZF1DX3UYMKllWxw6,Rap Manifesto,50,spotify,Spotify,43506
6sm8qxoAAmiktlM6x9t7o6,DRILL RAP,149,dvagnb8spc28pcdoamkq1479m,Membrives,37324
0s8ftAxAnnUI2YByaecOTW,O RAPPA - AS 35 MELHORES,34,valber_lopes,valber_lopes,36971
6ZCxh3XHVZMfKgh3OiNmtI,Pinoy Rap 2022 👑,154,jyhra99st5nhex8kfo4um2dh7,buntala,36607
1V85XSz0jdMhO0vXk1YcWr,Türkçe Rap 2022 - En İyi Türkçe Rap Şarkılar,260,sslmusicofficial,SSL Music,32899
37i9dQZF1DWY5WeO7u2nIz,smutny rap,60,spotify,Spotify,32066
45H30916DPYZhTJLIm7oJE,Soirée Rap 🌡️🍹 Summer Rap Playlist | Rap Été,138,iloveplaylists,Filtr France,30745
0TaPQjDB5YtyopzKY14biY,Rap Chileno 🇨🇱 ,141,12153636058,Lukas Cruzat Ugarte,29649
4hzgGAtO9bp7gjHOLsdVpm,RAP ÉTÉ 2022 ☀️🏝,253,1113353868,Crystalium Music,27663
4a3RNiNF7hljyo5KcV1cHo,Rap Français 2022 🔥,50,21vdldz3l7i7q2cc7mlyh47ii,Way Records,26907
5qmvm8zOG9hbzrFdRarmIZ,Rap Suprême,528,playstation_music,PlayStation®️,25790
37i9dQZF1DX7YBEurFPUfV,RapTounsi,50,spotify,Spotify,24222
37i9dQZF1DWSovkTlfUqxt,Majestát rapu,50,spotify,Spotify,23762
7LMIiIo6Lmyb2NpgivrzBY,PINOY RAP 2022,235,12144462149,Jake Montibon,23641
37i9dQZF1DWY6KI7pQhfpj,Rap Gymnastiki,50,spotify,Spotify,22510
78nOPCzVYNZ2IDXv3Rytea,Chill Rap Flows l Chill HipHop,182,z11zkj4ypd97n5jyl37wb0zoi,Rap God,22223
37i9dQZF1DX8d67fZNcuUh,dk rap,60,spotify,Spotify,22172
