track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
48qgXl0CQUVYJVn6xv0rsP,Nothing Changed,0,199111,"['0VRj0yCOv2FXJNP47XQnx5', '3EW0kQ1skZiK1NHg3Spt9J']","['Quavo', 'Takeoff']",2,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
6mM8gri8d2abYYomjOV4ut,Stop Breathing,0,110706,757aE44tKEUQEqRuT6GnEB,Roddy Ricch,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
5tzEcVk8jFSBhTrO0ZYJdZ,I’m So Awesome,0,187202,46SHBwWsqBkxI7EeeBEQG7,Kodak Black,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
5uVW9FWVaQde0lfF4hYs4C,CODE (feat. Moneybagg Yo),77,192427,"['4DdkRBBYG6Yk9Ka8tdJ9BW', '3tJoFztHeIJkJWMrx0td2f']","['Offset', 'Moneybagg Yo']",2,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
2BSl2gSFHdzJAMus74qzNj,Backstage Passes (feat. Jack Harlow),75,158431,"['4FlG0V0jhLO4qGpayFOphj', '2LIk90788K0zvyj2JJVwkJ']","['EST Gee', 'Jack Harlow']",2,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
2g3qKijfeHfDyM7Fmaoi5M,Blow,69,182533,3tJoFztHeIJkJWMrx0td2f,Moneybagg Yo,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
7fSM2taFBEB1WNZl8AOIoo,Detox,80,161636,5f7VJjfbwm532GiveGC0ZK,Lil Baby,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
6DVJ7Aqbml1X3wGxxV5QH5,9 Lives (feat. Polo G & NLE Choppa),0,228000,"['0WK3H9OErSn5zKOkOV5egm', '6AgTAQt8XS6jRWi4sX7w49', '0ErzCpIMyLcjPiwT4elrtZ']","['DDG', 'Polo G', 'NLE Choppa']",3,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
5QdVpZhASstTN4BBwglPz6,Ghetto Superstar (feat. G Herbo & Doe Boy),73,244853,"['757aE44tKEUQEqRuT6GnEB', '5QdEbQJ3ylBnc3gsIASAT5', '6aLoJJxz7MV2iZ423S8tJC']","['Roddy Ricch', 'G Herbo', 'Doe Boy']",3,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
6Md6lyVVoKWcOaSg8u1tDn,Shoot It Myself (feat. Future),59,187843,"['4FlG0V0jhLO4qGpayFOphj', '1RyvyyTE3xzB2ZywiAwp0i']","['EST Gee', 'Future']",2,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
2NVXBBbO4xGO851zrMfCFi,2 Mins of Pain (feat. Alborosie),75,136695,"['6EPlBSH2RSiettczlz7ihV', '78u1jLVBjPSXQVmHBV43yG']","['Sleepy Hallow', 'Alborosie']",2,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
2TSfStvlAMLw89u3tali79,Dah Dah DahDah,83,151776,0Njy6yR9LykNKYg9yE23QN,Nardo Wick,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
5sER6mjVIHvloVenvFbgT1,Pain & Strife (feat. Offset),0,157639,"['0Y4inQK6OespitzD6ijMwb', '4DdkRBBYG6Yk9Ka8tdJ9BW']","['Freddie Gibbs', 'Offset']",2,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
3wspfG772mi1c25JpnNOVP,Walk,73,166039,46SHBwWsqBkxI7EeeBEQG7,Kodak Black,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
1r3qUIDhMvoTct7cxPnbdN,Can't Believe It (feat. 2 Chainz),0,172106,"['0fA0VVWsXO9YnASrzqfmYu', '17lzZA2AlOHwCwFALHttmp']","['Kid Cudi', '2 Chainz']",2,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
1a019wP7IdYLexwbmfZPm3,Flawlëss (feat. Lil Uzi Vert),79,176124,"['3qiHUAX7zY4Qnjx8TNUzVx', '4O15NlyKLIASxsJ0PrXPfz']","['Yeat', 'Lil Uzi Vert']",2,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
5RtOqP26S4KrWexNolBaQc,From Nothing,74,169306,0RESbWvOMyua0yuyVrztJ5,Key Glock,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
3GdWfmQBiiJrDUvSZS1bGv,Never Sleep (with Lil Baby feat. Travis Scott),81,185785,"['7rkW85dBwwrJtlHRDkJDAC', '5f7VJjfbwm532GiveGC0ZK', '0Y5tJX1MQlPlqiwlOH1tJY']","['NAV', 'Lil Baby', 'Travis Scott']",3,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
2mzlyJ8Gb8cFMJvfENKnJQ,Treesha,77,105693,4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
0AzqJBVMdHP9ijAadQ0T18,Sober (feat. Roddy Ricch & Post Malone),0,253913,"['0A0FS04o6zMoto8OKPsDwY', '757aE44tKEUQEqRuT6GnEB', '246dkjvS1zLTtiykXe5h60']","['YG', 'Roddy Ricch', 'Post Malone']",3,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
0FzEq5yepkq03NI8axcOBu,"Save Me, Please",0,127934,6Xgp2XMz1fhVYe7i6yNAax,Trippie Redd,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
2BJWxD8xKrDv8vneTvTIm9,Beat the Odds,83,150000,6jGMq4yGs7aQzuGsMgVgZR,Lil Tjay,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),91,218364,"['3TVXtAsR1Inumwj472S9r4', '1URnnhqYAYcrqrcwql10ft']","['Drake', '21 Savage']",2,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
7pZeacKYnK4unCplCmI2qb,Too Much (feat. Moneybagg Yo),70,188869,"['0Y4inQK6OespitzD6ijMwb', '3tJoFztHeIJkJWMrx0td2f']","['Freddie Gibbs', 'Moneybagg Yo']",2,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
0JvnmNjMnTQMRizhrKzMSO,Look Ma I Did It,71,207786,"['13y7CgLHjMVRMDqxdx0Xdo', '768KV6PLzzcqy1CRCMFUNW']","['Gucci Mane', 'Baby Racks']",2,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
0g2Bbgy7P41pFjMWJuzsf4,STAYING ALIVE (feat. Drake & Lil Baby),85,178176,"['0QHgL1lAIqAw0HtD7YldmP', '3TVXtAsR1Inumwj472S9r4', '5f7VJjfbwm532GiveGC0ZK']","['DJ Khaled', 'Drake', 'Lil Baby']",3,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
4L1zI1GJxi0Qq38aSYmsS0,Can't Stop Won't Stop (feat. Kodak Black),69,158350,"['41I5xI04kixwmonDBl0Sda', '46SHBwWsqBkxI7EeeBEQG7']","['King Combs', 'Kodak Black']",2,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
7KXVIAuw3m2hxZanrpSXS3,Tomorrow 2 (with Cardi B),70,209811,"['2qoQgPAilErOKCwE2Y8wOG', '4kYSro6naA4h99UJvo89HB']","['GloRilla', 'Cardi B']",2,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
4dFKEyGrwmIimMqwYleFOR,"Super Freaky Girl (with JT & BIA feat. Katie Got Bandz, Akbar V & Maliibu Mitch) - Queen Mix",74,234899,"['0hCNtLu0JehylgoiP8L4Gh', '39af15p0feaAOdL9DTRj3m', '6veh5zbFpm31XsPdjBgPER', '48ObYO3GM7R76nRcfyvnM9', '74PEUb9Hxn7dY8jjgnQvSw', '5J1JcdYCPj44YKz6kVA5wx']","['Nicki Minaj', 'JT', 'BIA', 'Katie Got Bandz', 'Akbar V', 'Maliibu Miitch']",6,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
0HrWshW3SuFJ6nKS9ba9Mh,Vette Motors,73,173419,7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
4CKAeNUTMTnvzpYGKZmQZa,Robbery Part 4,66,180344,6AUl0ykLLpvTktob97x9hO,Tee Grizzley,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
0iPb0dxCtjFcmFa2ElfBJ5,54321,72,182325,4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
0ehikRZdaCWkqg5gd8ilMJ,Hall of Fame,72,238333,3HiuzBlSW7pGDXlSFMhO2g,Young Dolph,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
5gcsJvWzuPMeJBQYdiO0RS,Step 1 (with Offset),73,177731,"['7FOQfJbC3e4GNoheojERnF', '4DdkRBBYG6Yk9Ka8tdJ9BW']","['SleazyWorld Go', 'Offset']",2,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
6x3gud5JkOSGYJpRUYN1Gg,Us vs. Them (feat. Gucci Mane),74,216013,"['0VRj0yCOv2FXJNP47XQnx5', '3EW0kQ1skZiK1NHg3Spt9J', '13y7CgLHjMVRMDqxdx0Xdo']","['Quavo', 'Takeoff', 'Gucci Mane']",3,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
3uJFmluXzYedoJcvhpC1AW,Hot Shit (feat. Ye & Lil Durk),79,211649,"['4kYSro6naA4h99UJvo89HB', '5K4W6rqBFWDnAN6FQUkS6x', '3hcs9uc56yIGFCSy9leWe7']","['Cardi B', 'Kanye West', 'Lil Durk']",3,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
1vrFJDrysqmsNAgyjBzx4f,F.N.F. (Let's Go),73,137579,"['5pR1zWq3UPsOpW1pTWayLf', '2qoQgPAilErOKCwE2Y8wOG']","['Hitkidd', 'GloRilla']",2,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
060dZ7q9HN8nAS2zn2hwo5,SOCKS,68,171123,4r63FhuTkUYltbVAg5TQnk,DaBaby,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
3umPlMokEzAFxJO33tNdlY,IDGAF,70,138673,45gHcnDnMC15sgx3VL7ROG,42 Dugg,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
60PTOzcoFycWBICdumIsFQ,FOR FUN,76,188059,4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
6nrPRHGdz1ytpX2ZBZ4RGU,Falsetto (feat. Lil Tecca),70,135572,"['6MPCFvOQv5cIGfw3jODMF0', '4Ga1P7PMIsmqEZqhYZQgDo']","['Internet Money', 'Lil Tecca']",2,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
1NtyeXryylf8HWXnxVTD3v,Yungen (feat. Jack Harlow),75,226115,"['45TgXXqMDdF8BkjA83OM7z', '2LIk90788K0zvyj2JJVwkJ']","['Rod Wave', 'Jack Harlow']",2,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
0oO1AbL92F6329z13C2qQH,Talk,74,174857,3qiHUAX7zY4Qnjx8TNUzVx,Yeat,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
1jOgJN75btuUONIdf57vHz,Munch (Feelin’ U),77,104819,3LZZPxNDGDFVSIPqf4JuEf,Ice Spice,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
1Ch9ij2JqH3Y9tDEnSrd0n,Maniac,63,166787,"['0A0FS04o6zMoto8OKPsDwY', '6q3p11nP1p80Ey6LrOOSed']","['YG', 'Hit-Boy']",2,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
6djtjrpnWcuOaozVb8xKXS,Red Flag,64,207306,"['13y7CgLHjMVRMDqxdx0Xdo', '55zZKMiLQNwu6unkKc8J4y', '5RivQkx7CAT7TSVFJKvbDz']","['Gucci Mane', 'BiC Fizzle', 'BigWalkDog']",3,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
3LtpKP5abr2qqjunvjlX5i,Doja,93,97392,5H4yInM5zmHqpKIoMNAx4r,Central Cee,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
6vA7RdHmU23h3ygUPPFXz5,Ungrateful (feat. Key Glock),72,154433,"['181bsRPaVXVlUKXrxwZfHK', '0RESbWvOMyua0yuyVrztJ5']","['Megan Thee Stallion', 'Key Glock']",2,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
27ZZdyTSQWI7Cug2d2PkqV,BILLIE EILISH.,88,99282,2qAwMsiIjTzlmfAkXKvhVA,Armani White,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
2FWeNvUo79OeiHWoR1bUsO,Put It On Me,73,152195,7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
3LtpKP5abr2qqjunvjlX5i,Doja,93,97392,5H4yInM5zmHqpKIoMNAx4r,Central Cee,1,37i9dQZF1DX76t638V6CA8,Rap Workout
3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),91,218364,"['3TVXtAsR1Inumwj472S9r4', '1URnnhqYAYcrqrcwql10ft']","['Drake', '21 Savage']",2,37i9dQZF1DX76t638V6CA8,Rap Workout
2TSfStvlAMLw89u3tali79,Dah Dah DahDah,83,151776,0Njy6yR9LykNKYg9yE23QN,Nardo Wick,1,37i9dQZF1DX76t638V6CA8,Rap Workout
27NovPIUIRrOZoCHxABJwK,INDUSTRY BABY (feat. Jack Harlow),86,212000,"['7jVv8c5Fj3E9VhNjxT4snq', '2LIk90788K0zvyj2JJVwkJ']","['Lil Nas X', 'Jack Harlow']",2,37i9dQZF1DX76t638V6CA8,Rap Workout
6gBFPUFcJLzWGx4lenP6h2,goosebumps,84,243836,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,1,37i9dQZF1DX76t638V6CA8,Rap Workout
2BcMwX1MPV6ZHP4tUT9uq6,Knife Talk (with 21 Savage ft. Project Pat),85,242965,"['3TVXtAsR1Inumwj472S9r4', '1URnnhqYAYcrqrcwql10ft', '08Ld63UgKrJ0nZnCkzHtzc']","['Drake', '21 Savage', 'Project Pat']",3,37i9dQZF1DX76t638V6CA8,Rap Workout
503OTo2dSqe7qk76rgsbep,Still D.R.E.,84,270586,"['6DPYiyq5kWVQS4RGwxzPC7', '7hJcb9fa4alzcOq3EaNPoG']","['Dr. Dre', 'Snoop Dogg']",2,37i9dQZF1DX76t638V6CA8,Rap Workout
78UihSJn90VSGBBES12kFL,4 The Win,64,207083,5VadK1havLhK1OpKYsXv9y,D-Block Europe,1,37i9dQZF1DX76t638V6CA8,Rap Workout
0fX4oNGBWO3dSGUZcVdVV2,N95,84,195950,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,1,37i9dQZF1DX76t638V6CA8,Rap Workout
65OVbaJR5O1RmwOQx0875b,Wants and Needs (feat. Lil Baby),84,192956,"['3TVXtAsR1Inumwj472S9r4', '5f7VJjfbwm532GiveGC0ZK']","['Drake', 'Lil Baby']",2,37i9dQZF1DX76t638V6CA8,Rap Workout
79s5XnCN4TJKTVMSmOx8Ep,Dior,83,216386,0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,1,37i9dQZF1DX76t638V6CA8,Rap Workout
2wGSgTmgSF3xjRrHkTc25R,Hate It Or Love It,83,206400,"['0NbfKEOTQCcwd6o7wSDOHI', '3q7HBObVc0L8jNeTe5Gofh']","['The Game', '50 Cent']",2,37i9dQZF1DX76t638V6CA8,Rap Workout
3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,82,175720,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,1,37i9dQZF1DX76t638V6CA8,Rap Workout
0nbXyq5TXYPCO7pr3N8S4I,The Box,81,196652,757aE44tKEUQEqRuT6GnEB,Roddy Ricch,1,37i9dQZF1DX76t638V6CA8,Rap Workout
1OdXwV1ZqMDuMKsPThVfSB,Big Stunna (feat. Birdman),66,217613,"['0VRj0yCOv2FXJNP47XQnx5', '3EW0kQ1skZiK1NHg3Spt9J', '35sCXuy5gN6Or69rZ9vqBs']","['Quavo', 'Takeoff', 'Birdman']",3,37i9dQZF1DX76t638V6CA8,Rap Workout
3S68RFe1lsdCdTMPIMJM3X,Cash In Cash Out,81,216135,"['2RdwBSPQiwcmiDo9kixcl8', '1URnnhqYAYcrqrcwql10ft', '4V8LLVI7PbaPR0K2TGSxFF']","['Pharrell Williams', '21 Savage', 'Tyler, The Creator']",3,37i9dQZF1DX76t638V6CA8,Rap Workout
3GdWfmQBiiJrDUvSZS1bGv,Never Sleep (with Lil Baby feat. Travis Scott),81,185785,"['7rkW85dBwwrJtlHRDkJDAC', '5f7VJjfbwm532GiveGC0ZK', '0Y5tJX1MQlPlqiwlOH1tJY']","['NAV', 'Lil Baby', 'Travis Scott']",3,37i9dQZF1DX76t638V6CA8,Rap Workout
0WSEq9Ko4kFPt8yo3ICd6T,Praise God,81,226652,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,1,37i9dQZF1DX76t638V6CA8,Rap Workout
7ytR5pFWmSjzHJIeQkgog4,ROCKSTAR (feat. Roddy Ricch),80,181733,"['4r63FhuTkUYltbVAg5TQnk', '757aE44tKEUQEqRuT6GnEB']","['DaBaby', 'Roddy Ricch']",2,37i9dQZF1DX76t638V6CA8,Rap Workout
40iJIUlhi6renaREYGeIDS,Fair Trade (with Travis Scott),83,291175,"['3TVXtAsR1Inumwj472S9r4', '0Y5tJX1MQlPlqiwlOH1tJY']","['Drake', 'Travis Scott']",2,37i9dQZF1DX76t638V6CA8,Rap Workout
0QNNd0qMCDbraS1nQPg3aA,HOTEL LOBBY (Unc & Phew),80,142657,"['0VRj0yCOv2FXJNP47XQnx5', '3EW0kQ1skZiK1NHg3Spt9J']","['Quavo', 'Takeoff']",2,37i9dQZF1DX76t638V6CA8,Rap Workout
