track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
48qgXl0CQUVYJVn6xv0rsP,Nothing Changed,0VRj0yCOv2FXJNP47XQnx5,Quavo,4Lo6GJMW4ctfhtuCqMkn1O,199111,2022-09-30,0,0.907,0.59,5,-6.128,0,0.108,0.18,0.0,0.184,0.681,134.902,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
6mM8gri8d2abYYomjOV4ut,Stop Breathing,757aE44tKEUQEqRuT6GnEB,Roddy Ricch,1nP2b8dTaVUvvAOyRbDoBe,110706,2022-09-30,0,0.586,0.689,0,-6.04,1,0.425,0.0434,0.0,0.184,0.456,158.457,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
5tzEcVk8jFSBhTrO0ZYJdZ,I’m So Awesome,46SHBwWsqBkxI7EeeBEQG7,Kodak Black,4D0WwN3ZWPdVqGLYRQw7pd,187202,2022-09-30,0,0.908,0.606,7,-4.085,1,0.227,0.0549,0.0,0.422,0.147,108.053,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
5uVW9FWVaQde0lfF4hYs4C,CODE (feat. Moneybagg Yo),4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,42jB9RVqk28zOVbbKhSMX1,192427,2022-08-26,77,0.599,0.598,4,-7.015,0,0.124,0.0502,5.01e-05,0.173,0.343,179.49,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
2BSl2gSFHdzJAMus74qzNj,Backstage Passes (feat. Jack Harlow),4FlG0V0jhLO4qGpayFOphj,EST Gee,0A4xJz6OAedAQGriJH7pjn,158431,2022-09-16,75,0.855,0.478,1,-8.31,1,0.345,0.145,0.0,0.101,0.536,153.074,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
2g3qKijfeHfDyM7Fmaoi5M,Blow,3tJoFztHeIJkJWMrx0td2f,Moneybagg Yo,07AiRVrtrniKqkxHpLLY2g,182533,2022-09-22,69,0.815,0.742,11,-4.896,0,0.245,0.0579,0.0,0.345,0.584,137.036,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
7fSM2taFBEB1WNZl8AOIoo,Detox,5f7VJjfbwm532GiveGC0ZK,Lil Baby,4y77zrDMRkZznufMBScSal,161636,2022-09-02,80,0.845,0.503,1,-7.021,1,0.334,0.027,0.0,0.116,0.416,147.031,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
6DVJ7Aqbml1X3wGxxV5QH5,9 Lives (feat. Polo G & NLE Choppa),0WK3H9OErSn5zKOkOV5egm,DDG,2NwDMvwyNn3oUt80wN9KJN,228000,2022-09-30,0,0.577,0.533,5,-8.871,0,0.501,0.0957,0.0,0.127,0.799,160.088,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
5QdVpZhASstTN4BBwglPz6,Ghetto Superstar (feat. G Herbo & Doe Boy),757aE44tKEUQEqRuT6GnEB,Roddy Ricch,2MTfZnikwjrMJ20QSomF5j,244853,2022-09-08,73,0.704,0.62,9,-7.267,0,0.362,0.0686,0.0,0.144,0.383,157.093,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
6Md6lyVVoKWcOaSg8u1tDn,Shoot It Myself (feat. Future),4FlG0V0jhLO4qGpayFOphj,EST Gee,0A4xJz6OAedAQGriJH7pjn,187843,2022-09-16,59,0.798,0.471,8,-8.824,1,0.125,0.00189,0.0,0.154,0.11,135.102,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
2NVXBBbO4xGO851zrMfCFi,2 Mins of Pain (feat. Alborosie),6EPlBSH2RSiettczlz7ihV,Sleepy Hallow,43AaQNHNlJlf8F2iQkivyx,136695,2022-09-07,75,0.886,0.434,11,-12.106,0,0.403,0.101,1.22e-06,0.297,0.785,147.995,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
2TSfStvlAMLw89u3tali79,Dah Dah DahDah,0Njy6yR9LykNKYg9yE23QN,Nardo Wick,47Thm1tltjJVofuRumhfmi,151776,2022-07-22,83,0.66,0.373,11,-10.234,1,0.595,0.149,0.0,0.106,0.35,167.912,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
5sER6mjVIHvloVenvFbgT1,Pain & Strife (feat. Offset),0Y4inQK6OespitzD6ijMwb,Freddie Gibbs,3PZx4Vntcp5T7UgdfjnFDa,157639,2022-09-30,0,0.822,0.484,1,-7.804,1,0.341,0.0399,1.88e-05,0.252,0.342,146.984,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
3wspfG772mi1c25JpnNOVP,Walk,46SHBwWsqBkxI7EeeBEQG7,Kodak Black,54x77I85ZNITP0wvN07CVT,166039,2022-09-16,73,0.817,0.512,8,-6.943,1,0.0984,0.037,0.0,0.216,0.17,130.04,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
