artist_id,artist_name,total_followers,genres,popularity
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,43236735,"['dance pop', 'pop']",87
4IWBUUAFIplrNtaOHcJPRM,James Arthur,10293374,"['pop', 'talent show', 'uk pop']",80
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,19465938,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",80
04gDigrS5kc9YWfZHwBETP,Maroon 5,37898474,['pop'],85
5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,8049727,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",72
2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,10681442,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']",75
540vIaP2JwjQb9dm3aArA4,DJ Snake,8078534,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']",77
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,49741428,"['canadian contemporary r&b', 'canadian pop', 'pop']",94
46GXASE9LHzyssNqKOInUu,Dawin,222284,['nyc pop'],52
738wLrAtLtCtFOLvQBXOXp,Major Lazer,6303906,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'pop rap', 'tropical house']",74
1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,3616468,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk pop']",75
6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,4787703,"['ohio hip hop', 'pop rap']",81
5ZsFI1h6hIdQRw2ti0hz81,ZAYN,21293612,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",76
7gAppWoH7pcYmphCVTXkzs,The Vamps,5358308,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'uk pop']",69
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,15616078,"['dance pop', 'dutch edm', 'edm', 'electro house', 'pop', 'pop dance', 'progressive house', 'tropical house']",76
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,83257020,"['dance pop', 'pop']",88
02A3cEvlLLCbIMVDrK2GHV,Starley,171529,"['aussietronica', 'australian pop', 'dance pop', 'deep tropical house', 'edm', 'electropop', 'pop dance', 'pop edm', 'tropical house', 'uk pop']",57
2oX42qP5ineK3hrhBECLmj,Andy Grammer,1091068,"['dance pop', 'neo mellow', 'pop', 'pop rap', 'pop rock']",71
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,39262820,"['canadian pop', 'dance pop', 'pop', 'viral pop']",84
6MDME20pz9RveH9rEXvrOM,Clean Bandit,4909566,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk funky', 'uk pop']",75
0jKQrxK2zHqxyOAyIMrUQt,SUD,503400,"['opm', 'pinoy rock']",51
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,17503562,"['dance pop', 'pop', 'viral pop']",84
77AiFEVeAVj2ORpC85QVJs,Steve Aoki,3691226,"['dance pop', 'edm', 'electro house', 'pop dance', 'pop rap', 'tropical house']",74
3e7awlrlDSwF3iM0WBjGMp,Little Mix,10734359,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']",77
3iri9nBFs9e4wN7PLIetAw,gnash,1583798,['pop'],64
31TPClRtHm23RisEBtV3X7,Justin Timberlake,12191243,"['dance pop', 'pop']",80
7iZtZyCzp3LItcw1wtPI3D,Rae Sremmurd,6930578,"['hip hop', 'melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",72
3WGpXCj9YhhfX11TToZcXP,Troye Sivan,7136011,"['australian pop', 'dance pop', 'pop', 'viral pop']",76
3TVXtAsR1Inumwj472S9r4,Drake,67059805,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",95
6Dd3NScHWwnW6obMFbl1BH,Daya,1422202,"['alt z', 'dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",70
7nKeLE1toRtW4M279iS26h,Zay Hilfigerrr,62422,[],41
4nGp682WMiKS4X217kPw8C,Silent Sanctuary,2684961,"['opm', 'pinoy rock']",61
2LZDXcxJWgsJfKXZv9a5eG,Cashmere Cat,318586,"['dance pop', 'downtempo', 'pop', 'post-teen pop', 'shiver pop']",56
3tQx1LPXbsYjE9VwN1Peaa,Marc E. Bassy,400682,"['pop', 'pop rap', 'r&b']",62
6lB8vOoI4DRrrVxXwuV19c,Mike Perry,1395709,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'swedish tropical house', 'tropical house']",66
50JJSqHUf2RQ9xsHs0KMHg,Jon Bellion,1315291,['pop rap'],67
3wbCeEPAW6po7J46netxMT,Up Dharma Down,874235,"['opm', 'pinoy indie', 'pinoy reggae', 'pinoy rock', 'pop rock']",56
0q4NrXqJnc367PieejuROJ,Vice,19855,['chicano rap'],43
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,102491340,"['pop', 'uk pop']",91
0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,7594502,['opm'],70
3r3Rkuc4jmZHXgchgaXwnv,Suzi,8411,[],43
